trial_number,1,2,3,4,5,6,7,8,9,10
1,5,1,3,1,5,4,1,3,4,5
2,5,1,3,1,5,4,1,3,4,5
3,5,1,3,3,5,4,1,3,4,5
4,5,1,3,1,5,4,1,3,4,5
5,5,1,3,1,5,4,1,3,4,5
6,5,3,3,1,5,4,1,3,4,5
7,5,5,3,1,5,4,1,3,4,5
8,5,1,3,1,5,4,1,3,4,5
9,5,1,3,1,5,4,1,3,4,5
10,5,1,3,1,5,4,1,3,4,5
11,5,1,3,1,5,4,1,3,4,5
12,5,3,3,1,5,4,1,3,4,5
13,5,1,3,1,5,4,1,3,4,5
14,5,3,3,1,5,4,1,3,4,5
15,5,1,3,1,5,4,1,3,4,5
16,5,1,3,1,5,4,1,3,4,5
17,5,3,3,1,5,4,1,3,4,5
18,5,1,3,1,5,4,1,3,4,5
19,5,5,3,1,5,4,1,3,4,5
20,5,5,3,1,5,4,1,3,4,5
21,5,1,3,3,5,4,1,3,4,5
22,5,3,3,1,5,4,1,3,4,5
23,5,3,3,1,5,4,1,3,4,5
24,5,3,3,1,5,4,1,3,4,5
25,5,3,3,1,5,4,1,3,4,5
26,5,5,3,1,5,4,1,3,4,5
27,5,5,3,1,5,4,1,3,4,5
28,5,5,3,1,5,4,1,3,4,5
29,5,1,3,1,5,4,1,3,4,5
30,5,3,3,3,5,4,1,3,4,5
31,5,5,3,1,5,4,1,3,4,5
32,5,3,3,1,5,4,1,3,4,5
33,5,5,3,1,5,4,1,3,4,5
34,5,1,3,1,5,4,1,3,4,5
35,5,3,3,1,5,4,1,3,4,5
36,5,3,3,1,5,4,1,3,4,5
37,5,1,3,1,5,4,1,3,4,5
38,5,3,3,1,5,4,1,3,4,5
39,5,3,3,1,5,4,1,3,4,5
40,5,3,3,1,5,4,1,3,4,5
41,5,1,3,3,5,4,1,3,4,5
42,5,5,3,1,5,4,1,3,4,5
43,5,3,3,1,5,4,1,3,4,5
44,5,1,3,1,5,4,1,3,4,5
45,5,1,3,1,5,4,1,3,4,5
46,5,1,3,1,5,4,1,3,4,5
47,5,3,3,1,5,4,1,3,4,5
48,5,5,3,1,5,4,1,3,4,5
49,5,5,3,1,5,4,1,3,4,5
50,5,3,3,1,5,4,1,3,4,5
