trial_number,1,2,3,4,5,6,7,8,9,10
1,5,2,4,2,4,4,1,3,4,5
2,5,2,4,2,4,4,1,2,4,4
3,4,2,4,2,4,4,1,3,4,4
4,5,2,4,2,4,4,1,3,4,5
5,5,2,4,2,4,4,2,3,4,4
6,4,2,4,2,4,4,1,4,4,5
7,5,2,4,2,4,4,1,2,4,5
8,4,2,4,2,5,4,1,3,4,4
9,4,2,4,2,4,4,1,3,4,5
10,5,2,4,2,5,4,2,3,4,4
11,5,2,4,2,4,4,1,3,4,5
12,5,2,4,2,4,4,1,3,4,5
13,4,2,4,2,4,4,2,4,4,4
14,5,2,4,2,4,4,1,2,4,5
15,5,2,4,2,5,4,2,3,4,4
16,5,2,4,2,4,4,2,3,4,4
17,4,2,4,2,4,4,1,2,4,5
18,5,2,4,2,4,4,2,3,4,4
19,5,2,4,2,4,4,2,3,4,5
20,5,2,4,2,5,4,2,4,4,5
21,5,2,4,2,4,4,2,4,4,5
22,5,2,4,2,4,4,2,3,4,4
23,5,2,4,1,4,4,1,2,4,5
24,5,2,4,2,4,4,1,2,4,5
25,5,2,4,2,4,4,1,4,4,4
26,5,2,4,2,5,4,1,3,4,4
27,4,2,4,2,4,4,1,4,4,5
28,5,2,4,2,4,4,1,3,4,5
29,5,2,4,2,4,4,1,4,4,5
30,4,2,4,2,4,4,1,3,4,5
31,5,2,4,2,5,4,1,3,4,4
32,4,3,4,2,4,4,2,2,4,5
33,5,2,4,2,4,4,2,4,4,5
34,5,2,4,2,5,4,1,4,4,5
35,5,2,4,2,5,4,1,2,4,5
36,4,2,4,2,4,4,2,2,4,5
37,5,2,4,2,4,4,1,2,4,5
38,5,2,4,2,4,4,1,4,4,4
39,5,2,4,2,5,4,1,3,4,4
40,4,2,4,2,4,4,2,3,4,4
41,5,2,4,2,5,4,1,2,4,4
42,5,2,4,2,4,4,1,3,4,5
43,4,3,4,2,4,4,1,2,4,4
44,5,2,4,2,4,4,1,3,4,5
45,5,2,4,2,5,4,1,3,4,5
46,5,2,4,2,5,4,2,3,4,4
47,5,2,4,2,5,4,1,3,4,5
48,5,2,4,2,4,4,1,4,4,4
49,5,2,4,2,4,4,1,3,4,5
50,5,2,4,2,4,4,2,3,4,5
