trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,3,2,2,1,4,4,2,3,3,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,4,2,2,2,5,4,2,4,4,3,3
2,3,2,2,1,4,4,2,3,3,2,2,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,4,2,2,2,4,5,2,4,4,4,4
3,4,2,2,1,4,4,2,3,2,2,2,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,5,5,2,4,3,4,4
4,3,2,2,1,4,4,2,4,3,2,2,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,4,5,3,4,4,4,4
5,3,2,2,1,3,4,2,3,2,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,4,5,2,4,3,3,4
6,4,2,2,1,4,3,2,2,3,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,4,5,2,4,3,3,4
7,3,2,2,1,4,3,2,3,2,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,4,5,2,4,4,3,4
8,3,2,2,1,4,4,2,3,3,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,4,5,2,4,3,3,3
9,4,2,2,1,4,4,2,3,2,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,4,5,2,4,4,4,4
10,3,1,2,2,4,4,2,3,2,2,2,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,5,5,2,4,4,3,4
11,3,2,2,2,4,4,2,3,2,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,5,5,2,4,4,4,4
12,3,1,2,1,4,4,2,3,2,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,4,2,2,2,4,5,3,4,4,3,4
13,5,2,1,1,4,3,2,3,2,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,5,5,2,4,3,3,4
14,3,1,2,1,4,4,2,3,2,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,5,5,2,4,4,3,4
15,3,2,2,1,4,4,2,3,2,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,4,2,2,2,5,5,2,4,2,4,4
16,3,1,2,1,4,3,2,3,2,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,4,2,2,2,4,5,2,4,3,3,4
17,3,2,2,1,4,4,2,2,3,2,2,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,4,5,2,4,4,4,4
18,3,2,2,2,4,3,2,3,3,3,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,4,2,2,2,4,5,2,4,3,4,5
19,3,2,2,1,4,4,2,3,2,2,2,6,7,7,7,5,5,7,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,4,2,2,2,5,5,2,4,3,4,4
20,3,2,2,2,4,4,2,2,2,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,5,5,2,5,4,3,4
21,3,2,2,2,4,4,2,2,3,2,2,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,5,5,2,4,3,3,4
22,3,2,2,1,4,4,2,2,3,2,2,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,5,5,2,4,4,4,4
23,3,2,2,1,4,4,2,2,2,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,4,2,2,2,4,5,2,4,3,4,4
24,3,2,2,2,4,4,2,3,3,2,2,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,5,5,3,4,4,3,4
25,3,2,2,1,4,4,2,3,3,2,2,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,4,2,2,2,5,5,2,4,4,4,4
26,3,2,2,1,4,4,2,3,2,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,4,5,2,4,4,4,4
27,3,2,2,2,4,3,2,3,3,2,3,6,7,7,7,5,5,7,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,4,5,2,4,3,3,4
28,3,2,2,2,4,3,2,3,2,2,3,6,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,5,5,2,4,4,3,4
29,3,2,2,2,4,3,2,3,3,2,3,5,7,7,7,5,5,6,5,6,6,5,5,7,6,7,5,5,6,5,5,6,5,5,2,2,2,4,5,2,4,4,4,4
