trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,6,2,2,1,2,5,2,3,5,2,6,6,7,7,7,6,2,7,6,6,6,2,5,7,6,7,5,2,6,6,5,6,2,2,2,2,2,5,6,2,5,2,2,6
2,2,2,2,2,5,6,2,3,5,2,5,6,7,7,7,6,2,7,6,6,6,2,5,7,6,7,5,2,6,6,5,6,3,3,2,2,1,5,6,2,3,2,2,6
3,2,2,2,1,5,6,2,2,5,5,5,6,7,7,7,5,2,6,6,7,7,5,6,7,6,7,6,2,6,6,5,6,3,6,2,2,2,6,6,2,5,2,2,5
4,6,1,2,2,2,6,2,2,2,2,6,6,7,7,7,6,2,7,6,6,6,2,6,7,7,7,5,2,6,6,5,6,2,5,2,2,2,5,6,2,5,2,2,6
5,6,2,2,1,2,6,2,2,5,2,6,6,7,7,7,6,2,7,6,6,6,5,6,7,6,7,6,2,6,6,5,6,3,2,1,2,2,6,5,2,5,5,2,6
6,2,1,2,1,2,5,2,3,2,2,6,6,7,7,7,6,2,7,6,6,6,3,6,7,6,7,6,2,6,6,5,6,2,2,2,2,1,3,6,2,2,3,2,6
7,6,2,2,1,2,6,2,2,5,2,5,6,7,7,7,5,2,7,6,6,7,2,5,7,6,7,5,2,6,6,5,6,3,2,2,2,1,5,6,2,2,2,2,6
8,2,2,2,1,2,6,2,2,2,2,6,6,7,7,7,5,2,7,6,6,7,2,6,7,6,7,5,2,6,6,5,6,5,5,2,2,1,5,6,2,3,3,2,6
9,6,2,2,1,2,5,2,5,2,2,5,6,7,7,7,5,2,7,6,6,6,5,5,7,6,7,5,2,6,6,5,6,3,2,2,2,2,5,6,2,5,2,5,5
10,2,1,2,2,2,6,1,5,5,2,6,6,7,7,7,5,5,7,6,7,7,2,6,7,6,7,6,2,6,6,5,6,5,5,2,2,2,5,6,3,6,5,2,6
11,2,1,1,1,5,6,2,2,5,2,6,7,7,7,7,5,2,7,6,7,6,2,5,7,7,7,5,2,6,6,5,6,3,2,2,2,2,5,6,2,6,5,2,5
12,2,2,2,1,2,6,2,2,5,2,6,7,7,7,7,5,2,7,6,6,7,5,5,7,6,7,6,2,6,6,5,6,5,2,2,2,2,5,6,2,5,5,2,5
13,2,1,2,2,2,6,2,3,2,2,6,6,7,7,7,5,2,7,6,6,7,2,5,7,6,7,5,2,6,6,5,6,2,5,1,2,1,5,5,2,5,2,2,6
14,2,2,2,2,2,6,2,2,5,2,6,6,7,7,7,5,2,7,6,7,6,2,5,7,6,7,5,2,6,6,6,6,2,5,2,2,2,5,6,2,5,5,5,6
15,6,2,2,1,2,5,2,3,2,2,6,6,7,7,7,5,2,7,6,7,6,2,5,7,6,7,6,2,6,6,5,6,5,3,2,2,1,6,6,2,5,2,2,6
16,5,1,2,2,2,6,2,2,2,2,5,6,7,7,7,5,3,7,6,6,7,2,6,7,6,6,6,3,6,6,5,6,2,5,2,2,1,6,5,2,5,2,2,5
17,2,2,2,1,2,5,2,2,5,2,6,6,7,7,7,5,2,7,6,6,6,2,5,7,6,7,6,2,6,6,5,6,3,5,2,2,2,5,6,2,2,2,2,6
18,6,2,2,2,2,6,2,2,2,2,5,6,7,7,7,5,2,7,6,6,7,2,5,7,6,7,5,2,6,5,6,6,5,2,2,2,2,5,6,2,3,5,2,6
19,2,1,2,1,2,6,2,2,5,2,6,6,7,7,7,5,2,7,6,6,6,3,5,7,6,7,5,2,6,6,6,6,3,5,2,2,2,5,6,2,5,3,2,6
20,5,2,2,2,2,6,2,2,5,2,5,6,7,7,7,6,2,6,6,6,6,2,5,7,6,7,6,2,6,6,5,6,2,5,2,2,1,5,6,2,3,2,2,6
21,2,2,2,1,2,6,2,3,6,2,6,6,7,7,7,5,2,7,6,6,7,5,6,7,6,7,5,2,6,6,5,6,2,2,2,2,2,6,6,2,5,5,2,6
22,5,2,1,1,2,5,2,5,5,2,5,6,7,7,7,6,5,6,6,7,7,2,6,7,6,7,6,5,6,6,5,6,3,3,2,2,2,5,6,2,5,2,2,6
23,5,2,2,2,2,6,2,5,2,2,5,7,7,7,7,5,2,6,6,7,6,5,6,7,6,7,5,2,6,6,5,6,3,2,2,2,1,5,6,2,5,3,2,5
24,2,1,2,2,2,5,2,5,5,2,5,6,7,7,7,6,2,7,6,6,6,2,5,7,7,7,6,2,6,6,6,7,2,5,2,2,1,5,5,2,5,5,2,6
25,2,2,2,1,2,6,2,5,6,2,5,6,7,7,7,6,3,7,6,6,6,3,5,7,7,7,5,2,6,6,5,6,5,2,2,2,1,5,6,2,3,2,3,6
26,6,2,2,1,2,5,2,2,2,2,5,6,7,7,7,6,2,7,6,6,7,5,6,7,6,7,5,2,6,6,6,6,5,5,2,2,2,5,6,2,5,2,2,5
27,2,1,2,1,2,5,2,5,2,2,6,6,7,7,7,5,2,7,6,6,6,5,6,7,6,7,5,3,6,6,5,6,3,2,2,2,1,6,6,2,5,5,5,6
28,2,1,2,1,2,6,2,2,5,2,6,6,7,7,7,6,2,7,6,7,6,5,6,7,6,7,6,2,6,6,5,6,5,2,2,2,1,5,6,2,3,5,2,5
29,2,1,2,2,2,5,2,2,5,2,6,6,7,7,7,5,2,7,6,7,6,5,6,7,6,7,5,2,6,6,5,6,2,2,2,2,2,5,5,2,5,2,2,6
30,6,1,2,2,2,6,2,5,2,2,6,7,7,7,7,5,5,7,6,6,7,2,5,7,6,7,5,5,6,5,5,6,5,2,2,2,2,5,6,2,5,5,2,5
31,2,2,2,1,5,5,2,2,5,2,5,6,7,7,7,6,2,7,6,7,6,5,5,7,6,7,5,2,6,5,6,6,3,6,2,2,2,5,6,2,5,2,2,6
32,6,1,2,2,5,6,2,2,2,2,5,6,7,7,7,6,5,6,6,7,6,5,5,7,6,7,5,2,6,6,5,6,2,5,2,2,2,5,6,2,2,5,3,5
33,2,1,2,1,2,6,2,2,5,2,5,6,7,7,7,6,3,7,6,6,6,2,5,7,6,7,5,2,6,6,5,6,3,5,2,2,2,5,5,2,3,2,2,6
34,2,2,1,1,2,6,2,5,5,2,5,6,7,7,7,6,5,7,6,7,7,2,6,7,6,7,6,2,6,6,6,6,3,2,2,2,1,5,6,2,5,2,3,6
35,2,2,2,1,2,6,2,5,2,2,5,6,7,7,7,5,2,7,6,7,7,2,6,7,7,7,5,2,6,6,5,6,2,5,2,2,1,5,6,2,5,5,2,6
36,2,1,2,2,6,6,2,5,6,5,6,6,7,7,7,5,2,7,6,7,6,2,5,7,6,7,5,2,6,6,5,6,3,5,2,2,2,5,6,2,5,5,2,5
37,2,2,2,2,2,5,2,2,2,2,6,6,7,7,7,6,2,7,6,7,7,5,6,7,6,7,5,5,6,6,5,6,5,5,2,2,2,5,6,2,2,2,2,6
