trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,4,1,1,1,4,4,1,2,2,2,4,6,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,6,7,7,6,6,5,2,1,1,1,2,2,2,2,2,2,4
2,4,1,1,1,4,4,1,2,2,2,4,6,7,7,7,6,6,7,6,7,7,5,6,7,7,7,6,6,7,7,6,7,5,2,1,1,1,2,3,2,2,1,1,4
3,4,1,1,1,4,4,2,2,2,2,4,6,7,7,7,6,6,7,7,7,7,4,6,7,7,7,6,5,7,7,6,7,5,4,1,1,1,2,3,2,2,1,2,2
4,4,1,1,1,4,4,1,2,2,1,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,6,6,6,5,2,1,1,1,4,4,2,2,2,2,2
5,4,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,5,7,7,7,7,5,6,7,7,7,6,6,7,7,6,7,6,2,1,1,1,4,2,2,1,1,2,2
6,4,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,6,7,6,7,7,5,6,7,7,7,6,5,7,6,6,7,5,2,1,1,1,2,7,2,2,1,2,4
7,2,1,1,1,4,4,2,2,2,2,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,7,6,7,5,2,1,1,1,4,2,2,2,1,2,2
8,4,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,7,6,7,5,2,1,1,1,2,2,2,2,1,2,2
9,2,1,1,1,4,4,2,2,2,2,4,7,7,7,7,6,5,7,6,7,7,5,6,7,7,7,6,5,7,6,6,6,5,2,1,1,1,2,6,2,2,1,2,2
10,2,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,7,6,7,5,4,1,1,1,2,2,2,2,2,2,4
11,2,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,7,6,7,5,4,1,1,1,2,3,2,2,1,2,2
12,4,1,1,1,4,4,1,2,2,2,4,6,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,6,7,6,6,7,5,2,1,1,1,2,2,2,2,1,2,4
13,2,1,1,1,4,4,1,2,2,2,4,6,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,7,6,7,5,4,1,1,1,4,3,2,2,2,2,2
14,2,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,6,7,6,6,7,5,3,1,1,1,2,3,2,2,1,2,4
15,4,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,6,7,7,7,7,4,6,7,7,7,6,6,7,7,6,7,5,2,1,1,1,4,3,2,2,1,2,2
16,4,1,1,1,4,4,2,2,2,1,4,7,7,7,7,6,5,7,7,7,7,5,6,7,7,7,6,6,7,7,6,7,5,6,1,1,1,2,2,2,2,1,2,4
17,4,1,1,1,4,4,2,2,2,2,4,6,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,7,6,7,5,2,1,1,1,4,3,2,2,2,2,2
18,4,1,1,1,4,4,2,2,2,2,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,7,6,7,5,2,1,1,1,4,2,2,2,1,2,2
19,4,1,1,1,4,4,2,2,2,2,4,6,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,6,6,7,5,2,1,1,1,2,2,2,2,2,2,2
20,4,1,1,1,2,4,1,2,2,2,4,6,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,6,7,7,6,7,5,2,1,1,1,2,3,2,2,1,1,2
21,2,1,1,1,4,4,2,2,2,2,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,7,6,7,5,2,1,1,1,2,3,2,2,1,2,2
22,4,1,1,1,4,4,1,2,2,2,4,6,7,7,7,6,5,7,7,7,7,5,6,7,7,7,6,5,7,7,6,7,5,2,1,1,1,2,2,2,2,1,2,4
23,4,1,1,1,4,4,1,2,2,1,4,7,7,7,7,6,5,7,7,7,7,5,6,7,7,7,6,5,7,7,6,6,5,2,1,1,1,2,2,2,1,1,1,4
24,4,1,1,1,4,4,2,2,2,2,4,7,7,7,7,6,5,7,6,7,7,5,6,7,7,7,6,6,7,7,6,7,5,2,1,1,1,2,2,2,2,2,2,4
25,4,1,1,1,4,4,1,2,2,2,4,6,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,6,7,6,6,7,5,2,1,1,1,2,1,2,1,1,2,2
26,4,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,5,7,7,7,7,5,6,7,7,7,6,5,7,6,6,7,5,4,1,1,1,2,4,2,2,1,1,2
27,2,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,6,7,7,6,7,5,4,1,1,1,2,2,2,1,1,1,2
28,4,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,5,7,7,7,7,5,6,7,7,7,6,5,7,7,6,7,5,4,1,1,1,2,3,2,2,1,1,2
29,4,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,6,6,7,5,2,1,1,1,2,3,2,2,1,2,4
30,4,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,6,6,7,5,4,1,1,1,2,2,2,2,1,1,2
31,2,1,1,1,4,4,2,2,2,1,4,7,7,7,7,6,5,7,7,7,7,5,6,7,7,7,6,5,7,6,6,6,5,3,1,1,1,2,6,2,2,2,2,3
32,4,1,1,1,4,4,2,2,2,2,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,7,6,7,5,2,1,1,1,2,3,2,2,1,2,2
33,4,1,1,1,4,4,1,2,2,2,4,6,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,5,7,6,6,6,5,2,1,1,1,2,2,2,2,1,2,2
34,2,1,1,1,4,4,1,2,2,1,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,6,7,7,6,7,5,2,1,1,1,2,3,2,1,1,2,4
35,2,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,5,7,6,7,7,5,6,7,7,7,6,6,7,7,6,7,5,4,1,1,1,2,2,2,2,1,2,2
36,4,1,1,1,4,4,2,2,2,2,4,7,7,7,7,6,6,7,6,7,7,5,6,7,7,7,6,5,7,7,6,6,6,2,1,1,1,4,6,2,2,2,2,3
37,4,1,1,1,4,4,1,2,2,2,4,7,7,7,7,6,6,7,7,7,7,5,6,7,7,7,6,6,7,7,6,7,5,2,1,1,1,2,2,2,2,1,2,2
38,2,1,1,1,4,4,1,2,2,2,4,6,7,7,7,6,5,7,7,7,7,5,6,7,7,7,6,5,7,7,6,7,5,2,1,1,1,2,2,2,2,1,1,4
