trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,6,2,2,2,5,5,2,4,4,4,4,6,7,7,7,6,5,7,5,7,6,4,5,7,7,7,4,4,6,6,5,6,3,5,2,3,2,7,5,4,4,5,4,5
2,4,2,2,1,4,4,2,4,4,3,4,5,7,7,7,5,5,7,6,7,6,5,5,7,7,7,5,4,6,5,5,6,3,5,3,2,2,6,5,4,5,4,6,5
3,4,2,2,2,4,6,4,4,4,4,4,6,7,7,7,6,5,7,5,6,6,5,5,7,7,7,5,3,6,5,5,6,5,5,2,3,2,6,6,4,5,4,5,6
4,4,2,2,2,4,5,4,4,4,4,4,6,7,7,7,5,5,7,5,6,6,5,5,7,7,7,4,4,6,5,5,6,4,6,2,2,2,5,5,4,5,5,4,5
5,5,2,2,2,4,6,4,4,4,5,4,6,7,7,7,5,5,7,5,6,7,4,5,7,7,7,5,4,6,5,5,6,4,6,2,2,3,5,5,4,5,4,5,4
6,4,2,2,2,4,4,2,4,4,4,4,6,7,7,7,5,5,6,6,7,7,5,5,7,7,7,5,3,6,5,5,6,4,4,2,2,2,5,5,5,5,4,4,5
7,4,1,2,1,4,5,4,4,4,4,4,6,7,7,7,5,5,7,6,7,6,5,5,7,6,7,5,3,6,5,5,6,4,6,2,3,2,5,5,5,5,6,4,5
8,4,2,2,2,4,4,4,4,4,3,4,6,7,7,7,5,5,7,6,7,7,4,5,7,7,7,5,3,6,5,5,6,4,4,2,2,4,6,6,5,4,4,5,5
9,4,2,1,2,4,4,4,4,4,4,4,6,7,7,7,5,4,7,6,7,6,5,5,7,7,7,5,2,6,5,5,6,4,6,2,3,2,5,5,4,4,4,5,5
10,5,2,1,2,4,4,2,4,4,5,4,6,7,7,7,5,4,7,6,7,6,5,5,7,7,7,5,2,6,5,5,5,4,6,2,2,3,5,5,4,5,4,6,6
11,5,2,2,2,4,4,2,4,4,4,4,6,7,7,7,5,4,6,5,7,6,4,6,7,7,7,5,2,6,5,5,5,4,5,2,3,2,5,6,5,4,4,4,5
12,4,2,2,2,4,5,3,4,4,4,4,5,7,7,7,5,6,7,5,7,6,4,5,7,7,7,4,3,6,5,5,6,4,6,2,3,2,6,5,4,4,5,4,5
13,4,1,1,1,4,4,4,4,4,3,4,6,7,7,7,5,6,6,5,7,6,4,5,7,7,7,4,3,6,5,5,6,4,6,3,2,2,6,5,5,4,4,4,5
14,4,2,1,2,4,4,4,4,4,4,4,6,7,7,7,4,5,7,5,7,7,4,4,7,7,7,4,3,6,5,5,6,3,5,2,2,2,5,6,5,4,4,6,5
15,4,2,2,2,4,4,2,4,4,5,6,6,7,7,7,5,4,7,6,7,6,5,5,7,7,7,4,4,6,5,5,6,3,5,2,2,2,6,6,4,4,5,5,6
16,5,2,1,2,4,5,2,4,4,4,4,5,7,7,7,5,5,7,6,7,6,5,5,7,7,7,5,4,6,5,5,6,4,5,2,2,2,5,5,5,4,5,5,5
17,4,1,1,2,4,4,4,4,4,5,4,6,7,7,7,5,5,7,5,7,6,5,5,7,7,7,5,4,6,6,5,6,3,5,2,2,2,5,5,4,4,6,5,5
18,4,1,2,2,6,5,5,4,4,4,4,6,7,7,7,5,5,7,6,6,6,4,5,7,6,7,5,4,6,5,5,6,4,5,2,2,2,5,6,4,5,4,5,5
19,4,2,2,2,4,5,4,4,4,4,4,6,7,7,7,5,5,7,6,6,6,4,5,7,7,7,5,4,6,5,5,6,3,5,2,2,3,6,6,4,6,4,5,5
20,4,1,2,2,6,4,2,4,4,6,4,6,7,7,7,5,5,7,5,7,6,4,5,7,7,7,5,4,6,5,5,6,3,5,2,2,2,4,6,4,5,4,5,5
21,4,2,2,2,4,4,4,4,4,5,4,5,7,7,7,5,5,7,6,7,6,5,5,7,7,7,5,3,6,5,5,5,4,4,2,4,2,6,5,4,4,4,4,5
22,4,1,2,2,5,4,4,4,4,4,4,6,7,7,7,5,3,7,6,7,6,4,5,7,7,7,4,3,6,5,5,6,3,5,2,3,1,6,5,5,5,5,4,5
23,5,1,2,2,4,5,3,4,4,5,4,6,7,7,7,6,5,7,5,7,6,4,5,7,7,7,5,4,7,5,5,6,3,5,2,2,2,7,5,5,4,4,5,5
24,4,1,2,2,4,4,4,4,5,4,4,6,7,7,7,5,5,7,6,7,6,4,5,7,6,7,5,4,6,5,5,6,4,4,3,2,2,6,6,4,5,5,4,5
25,4,2,2,3,4,4,4,4,4,4,4,6,7,7,7,5,6,7,5,7,6,5,5,7,7,7,5,3,6,6,5,6,3,4,2,2,2,5,6,4,5,5,6,5
26,4,2,1,1,4,4,3,4,4,4,4,5,7,7,7,5,5,7,6,7,6,6,5,7,7,7,5,4,6,6,5,6,5,5,2,3,2,4,5,4,4,4,4,5
27,4,1,2,2,4,4,4,4,4,3,4,5,7,7,7,5,4,7,6,7,6,4,5,7,7,7,5,3,6,5,5,6,4,5,2,2,2,5,6,5,4,5,5,6
28,4,1,2,1,5,4,4,4,4,4,4,6,7,7,7,5,5,7,5,7,6,5,5,7,6,7,4,3,6,6,5,6,4,6,2,2,2,5,6,5,4,4,5,4
29,4,2,2,1,4,6,4,4,4,6,4,5,7,7,7,5,5,7,6,7,6,5,5,7,7,7,5,3,5,5,5,6,4,4,2,3,2,6,5,5,5,5,5,6
30,4,2,2,2,4,5,4,4,4,4,4,6,7,7,7,5,5,6,6,7,7,5,4,7,7,7,5,2,6,6,5,6,3,5,2,2,3,5,6,4,5,5,5,5
31,5,2,2,2,4,4,3,4,4,4,4,6,7,7,7,6,5,7,6,7,6,5,5,7,7,7,5,2,5,6,5,6,4,4,2,2,2,5,5,5,4,4,4,5
32,4,1,2,2,5,4,2,4,4,3,4,5,7,7,7,5,5,6,5,7,7,5,5,7,7,7,5,2,6,6,5,5,4,6,2,4,2,5,6,4,4,4,5,5
33,4,1,2,2,4,5,4,4,4,4,4,6,7,7,7,5,4,7,5,7,6,4,5,7,7,7,4,4,6,5,5,6,4,5,2,4,2,5,6,5,4,5,6,5
34,4,2,2,1,4,4,4,4,4,5,4,6,7,7,7,5,5,7,6,7,6,5,5,7,7,7,5,4,6,5,5,6,3,5,2,4,2,7,5,4,4,5,5,6
35,4,2,2,2,4,4,4,4,4,4,4,6,7,7,7,5,5,7,5,7,6,5,5,7,7,7,5,3,7,5,5,6,2,4,2,2,2,5,5,6,3,4,4,5
36,4,2,1,2,4,4,4,4,4,3,4,6,7,7,7,5,4,7,6,7,7,5,5,7,6,7,5,3,6,6,5,6,2,6,2,2,2,5,5,3,4,4,5,5
37,4,1,1,2,4,4,2,4,5,4,4,5,7,7,7,5,4,7,5,7,6,5,5,7,6,7,5,4,6,5,5,5,5,5,2,2,1,5,6,4,4,4,4,5
38,5,2,2,2,4,4,4,4,4,4,4,6,7,7,7,5,5,7,5,7,6,4,5,7,7,7,5,3,6,6,5,6,4,6,2,2,2,5,6,6,5,4,6,4
39,4,1,1,1,4,5,3,4,4,4,4,5,7,7,7,5,4,7,6,7,7,5,5,7,7,7,5,4,7,5,5,6,3,4,2,2,2,6,6,5,4,4,6,5
40,5,2,2,2,4,6,2,4,4,4,4,6,7,7,7,6,4,7,5,6,7,4,5,7,7,7,3,4,6,6,5,6,4,5,2,2,2,5,6,4,4,4,4,5
41,6,1,2,2,4,4,4,4,4,4,4,5,7,7,7,5,5,7,5,7,6,5,5,7,7,7,4,4,6,5,5,6,4,5,2,3,2,6,5,4,4,4,5,5
42,5,1,2,2,4,5,4,4,4,4,4,6,7,7,7,5,5,7,5,6,6,5,5,7,7,7,5,3,6,5,5,6,2,4,2,4,2,5,6,5,5,5,4,5
43,5,2,2,2,4,4,3,4,4,4,4,6,7,7,7,5,5,7,6,6,6,4,5,7,7,7,5,2,6,5,5,5,4,5,2,2,2,5,6,5,4,5,4,5
44,4,2,1,1,4,5,2,4,4,4,4,6,7,7,7,5,5,7,6,7,6,5,5,7,7,7,5,2,6,5,5,6,5,4,2,2,2,5,5,5,4,6,5,5
45,4,1,2,2,4,5,4,4,5,4,4,6,7,7,7,5,5,7,5,6,6,5,5,7,7,7,5,4,6,5,5,6,4,5,3,3,2,5,4,5,4,4,4,5
