trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,4,2,2,2,4,4,2,3,3,2,4,6,7,7,6,5,5,6,5,6,6,5,5,6,6,6,5,5,6,5,5,6,5,4,2,3,2,5,4,3,3,3,3,5
2,3,2,2,2,4,4,2,3,3,3,4,6,7,7,6,5,5,6,5,6,6,5,5,6,6,6,5,5,6,5,5,6,3,5,2,3,2,4,4,3,3,3,3,5
3,3,2,2,2,4,4,2,4,3,3,4,6,7,7,6,5,5,6,5,6,6,5,5,6,6,6,5,5,6,5,5,6,5,4,2,3,2,4,5,3,3,3,3,5
4,4,2,2,2,4,3,2,3,3,3,3,5,6,7,6,5,5,6,5,6,6,5,5,6,6,6,5,5,6,5,5,6,3,5,2,3,2,5,5,3,3,4,3,5
5,3,1,2,2,4,4,2,3,3,3,4,5,7,7,6,5,5,6,5,6,6,4,5,6,6,6,5,5,6,5,5,6,5,5,2,3,3,5,4,3,3,3,3,5
6,3,2,2,2,3,3,2,3,3,3,4,5,7,7,6,5,5,6,5,6,6,5,5,6,6,6,5,5,6,5,5,6,3,4,2,3,2,5,3,3,4,3,3,5
7,3,2,2,2,3,4,2,3,3,3,4,6,7,7,6,5,5,6,5,6,6,5,5,6,6,6,5,5,6,5,5,6,3,5,2,3,2,4,5,3,3,3,3,5
8,3,2,2,2,3,4,2,3,3,3,4,6,7,7,6,5,5,6,5,6,6,5,5,7,6,6,5,5,6,5,5,6,3,4,2,3,3,5,5,3,4,4,3,5
9,3,2,2,2,4,3,2,3,3,3,4,6,7,7,6,5,5,6,5,6,6,4,5,6,6,6,5,5,6,5,5,6,3,5,2,3,2,4,3,3,4,3,3,5
10,3,2,2,2,4,4,2,3,3,3,4,6,7,7,6,5,5,6,5,6,6,5,5,6,6,6,5,5,6,5,5,6,5,4,2,3,2,5,5,3,4,3,3,5
