trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
1,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,5,6,6,4,6,6,4,6,7,6,7,5,4,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4
2,4,6,4,6,4,4,4,4,4,4,4,6,7,7,6,4,6,6,6,6,6,4,6,7,6,7,6,7,6,6,6,6,6,4,4,4,6,4,4,4,4,4,4,4
3,4,6,4,6,4,4,4,4,4,4,5,6,7,7,6,6,6,6,6,6,6,4,6,7,6,7,6,4,6,6,6,6,6,4,4,4,6,4,4,4,4,4,4,4
4,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,7,6,7,5,4,6,6,5,6,6,4,4,5,4,4,4,4,4,4,4,4
5,4,6,4,5,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,4,7,6,7,6,4,6,6,6,6,6,4,4,4,7,4,4,4,4,4,4,4
6,4,6,4,4,4,4,4,4,4,4,4,6,7,7,7,4,6,6,6,6,6,4,6,7,6,7,6,4,6,6,6,6,6,4,4,4,6,4,4,4,4,4,4,4
7,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,7,6,7,6,4,6,6,5,6,6,4,4,4,7,4,4,4,4,4,4,6
8,4,6,4,6,4,4,4,4,4,4,5,6,7,7,7,6,6,6,7,6,6,4,6,7,6,7,6,6,6,6,6,6,6,4,4,4,6,4,4,4,4,4,4,4
9,4,6,4,7,4,4,4,4,4,4,4,6,7,7,7,4,6,6,6,6,6,4,6,7,6,7,6,4,6,6,5,6,6,4,4,4,6,4,4,4,4,4,4,4
10,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,4,6,6,4,6,6,4,6,7,6,7,6,4,6,6,6,6,6,4,4,4,6,4,4,4,4,7,4,4
11,4,6,6,6,4,4,4,4,4,4,4,6,7,7,6,6,6,6,6,6,6,4,6,7,6,6,5,4,6,6,6,6,6,4,4,4,4,4,4,5,5,4,4,4
12,4,6,4,7,4,4,4,4,4,4,4,6,7,7,7,4,6,6,6,6,6,4,6,7,6,7,6,4,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4
13,4,7,4,7,4,4,4,4,4,4,4,6,7,7,7,4,6,6,6,6,6,4,6,7,6,7,5,5,6,6,6,6,6,4,4,4,4,4,5,4,4,4,4,4
14,4,6,4,4,4,4,7,4,4,4,4,6,7,7,7,6,6,5,6,6,6,4,6,6,6,7,6,4,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4
15,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,4,6,6,6,6,6,4,6,7,6,7,6,7,6,6,6,6,6,4,7,4,4,4,4,4,4,4,4,4
16,4,6,4,4,4,4,4,4,4,4,4,6,6,7,7,6,6,6,6,6,6,4,6,6,6,7,6,4,6,6,6,6,6,7,4,4,4,4,4,4,4,4,4,4
17,4,6,7,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4
18,4,6,4,6,4,7,4,4,7,4,4,6,7,7,7,6,6,6,6,6,6,4,6,7,6,6,6,4,6,6,4,6,6,5,4,4,6,4,4,4,4,4,4,4
19,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,4,6,6,4,7,7,6,7,5,4,6,6,6,6,6,4,7,4,4,4,4,4,4,4,4,4
