trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,4,2,2,2,4,4,2,3,4,4,3,3,2,2,2,4,4,2,3,3,4,3,4,1,2,1,4,4,2,3,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,1,2,2,2,2
2,4,2,2,2,4,4,2,3,4,4,3,3,2,2,2,4,4,2,3,3,4,3,4,1,2,2,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
3,4,2,2,2,4,4,2,3,4,4,3,3,2,2,2,4,4,2,3,3,4,3,4,1,2,2,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
4,4,2,2,2,4,4,2,3,4,4,4,4,2,2,2,4,3,2,3,3,4,3,4,1,2,1,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
5,4,2,2,2,4,3,2,3,4,4,3,3,2,2,2,4,3,2,3,3,4,3,4,1,2,1,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
6,4,2,2,2,4,4,2,3,4,4,3,3,2,2,2,4,3,2,3,3,4,3,4,1,2,1,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
7,4,2,2,2,4,4,2,3,4,4,4,3,2,2,2,4,4,2,3,3,4,3,4,1,2,1,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
8,4,2,2,2,4,4,2,3,4,4,3,3,2,2,2,4,4,2,3,3,4,3,4,1,2,1,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
9,4,2,2,2,4,4,2,3,4,4,4,2,2,2,2,4,3,2,3,3,4,3,4,1,1,2,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
10,4,2,2,2,4,4,2,3,4,4,3,3,2,2,2,4,4,2,3,3,4,3,4,1,2,2,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,1,2,2,2,2
11,4,2,2,2,4,4,2,3,4,4,4,3,2,2,2,4,4,2,3,3,4,3,4,1,2,1,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
12,4,2,2,2,4,4,2,3,4,4,3,3,2,2,2,4,3,2,3,3,4,3,4,1,2,1,4,3,2,4,4,2,4,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
13,4,2,2,2,4,4,2,3,4,4,3,3,2,2,2,4,4,2,3,3,4,3,4,1,2,2,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
14,3,2,2,2,4,4,2,3,4,4,4,3,2,2,2,4,4,2,3,3,4,3,4,1,2,2,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
15,4,2,2,2,4,4,2,3,4,4,3,3,2,2,2,4,3,2,3,3,4,3,4,1,2,1,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
16,4,2,2,2,4,4,2,3,4,4,3,3,2,2,2,4,4,2,3,3,4,3,4,1,2,1,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,3,4,4,2,1,1,1,2,2,2,2,2,2,2
17,4,2,2,2,4,4,2,3,4,4,3,3,2,2,2,4,4,2,3,3,4,3,4,1,2,1,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
18,4,2,2,2,4,4,2,3,4,4,4,3,2,2,2,4,4,2,3,3,4,3,4,1,2,2,4,4,2,4,4,2,3,3,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
19,4,2,2,2,4,3,2,4,4,4,4,3,2,2,2,4,4,2,3,3,4,3,4,1,2,1,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
20,4,2,2,2,4,4,2,3,4,4,4,3,2,2,2,4,3,2,3,3,4,3,4,1,2,2,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
21,4,2,2,2,4,4,2,3,4,4,4,3,2,2,2,4,4,2,3,3,4,3,4,1,2,1,4,4,2,4,4,2,3,2,1,2,1,2,2,2,2,2,4,4,2,1,1,1,2,2,2,2,2,2,2
