trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,3,3,3,3,4,4,2,3,4,4,4,3,3,3,2,3,4,3,3,3,4,3,5,1,1,1,5,3,1,2,3,2,3,3,1,2,2,3,3,2,3,4,4,4,2,1,1,1,2,2,2,3,2,2,2
2,4,3,1,3,4,4,3,3,3,4,4,3,2,2,2,3,4,3,3,3,4,3,4,1,1,1,4,3,1,2,2,2,4,3,1,3,2,3,4,2,4,3,4,4,2,1,1,1,1,1,2,2,2,2,2
3,4,3,3,2,4,3,3,3,3,4,3,3,2,2,2,3,3,3,3,3,4,3,5,1,1,1,5,3,1,3,2,1,3,3,1,3,1,3,4,2,4,3,4,5,2,1,1,1,2,2,2,3,2,2,1
4,3,3,3,2,3,4,3,3,3,4,3,2,2,2,3,3,3,3,3,3,4,3,5,1,1,1,5,3,1,3,3,1,3,4,1,4,1,3,4,2,4,3,4,4,2,1,1,1,2,2,2,2,2,1,3
5,3,3,3,2,3,3,2,3,3,4,4,3,1,2,2,3,3,3,3,3,3,3,4,1,1,1,4,3,1,2,3,2,3,3,1,2,1,3,4,1,4,4,4,4,3,1,1,1,1,2,1,2,2,2,3
6,3,3,2,2,4,4,3,3,3,4,3,3,2,2,2,3,3,3,3,3,4,3,5,1,1,1,4,3,1,2,3,1,3,3,1,3,1,3,4,3,3,3,4,4,2,2,1,1,2,2,1,2,2,2,1
7,3,3,2,2,4,3,2,3,3,4,3,4,2,2,2,3,3,3,3,3,4,3,5,1,1,1,4,3,1,2,3,2,3,4,2,3,2,3,4,2,3,4,4,4,3,1,1,1,2,2,2,2,2,1,2
8,3,3,3,2,4,4,2,3,3,4,4,3,2,2,2,4,3,3,3,3,4,3,4,1,1,1,4,2,1,2,3,2,3,3,2,3,1,3,4,2,3,4,4,4,2,2,1,1,1,2,2,2,2,2,2
9,4,3,3,2,4,3,2,3,4,4,3,3,2,2,2,3,3,3,3,3,4,3,5,1,1,1,4,3,1,3,3,2,3,4,1,4,1,3,4,2,4,3,4,4,2,1,1,1,2,2,2,3,2,2,2
10,3,2,2,2,4,4,3,3,3,4,3,3,2,2,2,3,3,3,3,3,3,3,5,1,1,1,4,3,1,3,3,2,3,3,1,4,1,3,4,2,4,4,4,4,2,1,1,2,1,3,1,3,3,2,1
11,3,2,3,2,3,3,2,3,4,4,3,3,3,2,3,3,4,3,3,3,3,3,5,1,1,1,5,3,1,3,3,2,3,3,1,4,2,3,4,2,4,3,4,4,2,1,1,1,2,2,2,3,1,2,2
12,3,3,2,2,3,4,2,3,3,4,3,3,2,2,3,4,3,3,3,3,4,3,5,1,1,1,5,3,1,3,3,1,3,4,1,4,1,3,4,2,3,4,4,4,2,2,1,2,1,1,2,2,2,1,2
13,3,3,2,2,4,4,2,3,4,4,4,3,2,2,2,3,4,3,3,3,4,3,5,1,1,1,4,3,1,2,2,2,3,4,1,3,2,3,4,2,4,4,4,4,2,1,1,1,1,1,1,1,2,2,2
14,3,3,3,2,4,3,2,3,3,4,3,3,3,3,2,3,4,2,3,3,4,3,5,1,1,1,4,3,1,2,3,1,3,3,1,3,1,3,4,2,4,4,4,4,2,1,1,1,2,1,1,2,2,2,2
15,3,3,3,2,3,3,3,3,3,4,4,3,2,2,3,3,3,2,3,2,4,3,5,1,1,1,4,3,1,2,3,2,3,3,1,2,2,3,3,2,4,4,4,4,2,1,1,1,2,2,1,2,2,1,2
16,4,3,3,3,3,4,2,3,4,4,3,3,2,2,2,3,3,3,3,3,4,3,5,1,1,1,4,3,1,2,3,2,3,3,1,3,2,3,4,1,4,4,5,4,1,2,1,1,1,2,2,3,2,1,2
17,3,2,3,2,4,3,2,3,3,4,4,3,2,2,2,3,3,3,3,3,4,3,5,1,1,1,4,3,1,3,3,2,3,4,1,3,2,3,3,2,4,4,4,4,2,1,1,1,2,2,2,2,2,2,2
18,3,3,2,2,4,3,3,3,3,4,3,3,3,2,2,4,3,3,3,3,3,3,4,1,1,1,4,3,1,3,2,1,3,3,1,3,1,3,4,2,3,4,4,4,2,1,1,1,2,1,2,2,2,2,2
19,3,3,3,1,4,3,2,3,4,4,4,3,2,3,2,3,4,3,3,3,4,3,5,1,1,1,5,3,1,2,3,1,3,3,1,3,1,3,4,3,4,4,4,4,1,1,1,1,1,3,1,2,2,1,2
20,3,2,3,2,3,4,3,3,3,4,3,3,2,2,2,4,3,3,3,3,4,3,5,1,1,1,4,3,1,2,3,2,3,3,1,2,1,3,4,2,3,4,5,4,2,1,1,1,2,2,2,2,2,2,2
21,3,3,2,2,4,4,2,3,3,3,3,4,2,2,2,3,3,3,3,3,4,3,4,1,1,1,4,3,1,3,3,1,3,3,1,3,2,2,4,2,3,3,4,4,3,1,1,1,2,2,2,2,2,2,3
22,3,2,2,2,3,4,2,3,3,4,3,3,2,2,2,3,3,3,3,3,3,3,5,1,1,1,4,3,1,2,3,2,3,3,1,3,1,3,4,2,4,3,4,4,2,1,1,1,1,2,1,1,1,2,2
23,3,3,2,3,4,3,2,3,3,4,4,3,2,3,2,3,3,3,3,3,3,3,5,1,1,1,4,3,1,2,3,1,3,3,2,4,1,3,4,2,4,3,4,5,2,1,1,2,2,2,1,2,2,2,2
24,3,2,3,2,3,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,4,3,5,1,1,1,4,3,1,3,3,1,3,3,1,2,2,3,4,2,3,4,4,4,3,1,1,1,2,2,1,2,2,1,3
25,3,3,3,2,3,4,2,3,3,4,4,3,3,2,3,3,3,3,3,2,4,3,4,1,1,1,4,3,1,2,3,1,3,3,1,3,3,3,4,1,4,3,4,4,2,1,1,1,2,2,1,2,2,2,3
26,3,2,2,2,3,4,2,3,3,4,3,3,2,3,2,3,3,3,3,3,3,3,5,1,1,1,4,3,1,3,3,2,3,3,1,2,1,4,4,1,4,4,4,4,2,1,1,1,2,2,2,2,2,2,2
27,3,2,4,2,4,3,3,3,3,4,3,3,2,2,3,3,3,3,3,3,3,3,4,1,1,1,4,3,1,2,3,1,3,3,1,4,1,3,4,2,3,3,4,4,2,1,1,1,2,2,2,2,2,2,2
28,3,3,2,2,4,4,3,3,3,4,4,3,2,2,3,3,3,3,3,3,4,3,4,1,1,1,4,3,1,3,3,1,3,3,1,4,1,3,3,2,4,3,5,4,2,1,1,1,2,1,2,1,2,2,3
29,3,2,3,2,3,4,3,3,3,4,3,3,2,2,2,4,3,3,3,3,4,3,5,1,1,1,4,3,1,2,4,1,3,3,1,3,1,3,4,3,3,3,4,4,2,2,1,1,2,1,2,1,2,2,2
30,3,3,3,3,4,3,3,3,3,4,3,3,2,2,2,3,3,3,3,3,4,3,4,1,1,1,5,3,1,2,3,2,3,3,1,3,3,3,4,3,4,3,5,5,2,1,1,1,2,1,2,2,2,2,2
31,3,3,3,3,4,4,2,3,4,4,4,3,3,3,3,4,3,3,3,3,4,3,5,1,1,1,4,3,1,3,3,2,3,3,1,3,1,3,4,1,4,3,5,4,2,1,1,1,2,2,2,2,2,1,2
32,3,2,2,1,3,4,2,3,4,4,3,3,3,3,3,4,4,3,3,3,4,3,5,1,1,1,4,3,1,3,3,2,3,4,1,4,1,3,4,3,4,4,4,4,1,1,1,1,1,2,1,2,1,1,1
33,3,2,3,2,4,4,3,3,3,4,3,3,2,2,2,4,3,3,3,3,4,3,5,1,1,1,4,3,1,3,3,1,3,4,1,4,2,3,4,2,4,3,4,4,3,2,1,1,1,3,1,2,3,2,2
34,4,3,2,2,4,4,2,3,3,4,3,3,2,2,3,3,3,2,3,3,4,3,5,1,1,1,5,3,1,2,3,1,3,3,1,3,1,2,4,2,4,3,4,4,2,1,1,1,2,2,2,2,2,2,1
35,3,3,2,1,4,3,2,3,3,4,3,3,2,2,2,3,3,3,3,4,4,3,5,1,1,1,5,3,1,3,3,2,3,3,1,2,2,3,4,1,4,4,4,4,2,2,1,1,2,2,2,2,2,2,3
36,3,2,3,2,3,3,3,3,3,4,3,3,2,3,2,4,3,3,3,4,4,3,5,1,1,1,4,3,1,2,3,1,3,4,2,3,2,3,3,1,3,4,4,4,1,1,1,1,1,2,2,1,2,2,1
37,3,3,2,3,4,4,2,3,3,4,4,3,2,2,2,3,3,3,3,3,4,3,5,1,1,1,5,3,1,2,3,1,3,4,1,3,1,3,4,1,3,4,4,4,2,2,1,2,1,2,2,2,2,2,2
38,3,2,3,2,3,4,3,3,4,4,4,3,2,2,2,3,3,3,3,3,3,3,5,1,1,1,4,3,1,2,3,2,3,3,1,2,1,3,4,1,4,2,4,4,1,1,1,2,1,2,1,3,2,2,2
39,3,2,3,2,3,3,2,3,3,4,4,3,2,2,2,3,3,2,3,3,4,3,5,1,1,1,4,2,1,2,3,1,3,4,1,4,1,3,4,1,3,4,4,4,2,1,1,1,1,2,2,3,3,2,3
40,3,3,3,2,3,3,3,3,3,4,4,3,2,3,2,3,3,3,3,3,4,3,5,1,1,1,5,3,1,3,3,1,3,4,1,3,1,4,4,2,4,4,5,4,3,1,1,1,2,1,2,2,2,1,3
41,3,3,3,2,3,4,3,3,3,4,4,3,3,2,2,3,3,3,3,3,4,3,5,1,1,1,4,3,1,2,2,2,3,3,1,3,2,3,4,2,3,4,4,4,2,1,1,1,2,1,2,3,2,1,2
42,3,3,2,2,4,4,2,3,3,4,3,3,2,2,3,3,3,3,3,3,4,3,4,1,1,1,4,3,1,2,3,2,3,4,1,3,2,3,4,1,4,4,4,4,2,1,1,1,2,2,2,2,2,1,1
43,3,2,3,2,3,3,3,3,3,4,3,3,2,2,2,3,3,3,3,3,3,3,5,1,1,1,5,4,1,2,2,1,3,4,1,4,2,3,3,3,3,2,5,4,1,2,1,1,2,2,2,2,1,2,1
44,4,3,3,2,3,4,3,3,4,4,3,3,2,3,3,3,4,3,3,3,4,3,5,1,1,1,4,3,1,3,3,1,3,3,2,3,1,3,4,2,4,4,4,4,3,1,1,1,2,2,2,2,2,1,2
45,3,3,3,2,3,3,2,3,4,4,3,3,3,2,3,3,3,3,3,3,4,3,5,1,1,1,4,3,1,2,2,2,3,3,1,4,1,3,4,3,3,4,4,4,2,1,2,1,1,1,1,2,2,2,3
46,3,3,3,2,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,4,1,1,1,4,3,1,2,4,1,2,4,1,3,1,3,4,3,4,3,5,4,2,1,1,2,1,2,1,3,2,2,3
47,3,3,3,2,3,3,2,3,3,4,4,3,2,2,2,3,3,3,3,3,4,3,5,1,1,1,5,3,1,3,3,1,4,3,1,3,2,3,4,3,3,3,5,4,2,1,1,1,1,1,2,2,2,2,2
48,3,3,2,2,3,4,3,3,3,4,3,3,2,2,2,3,3,3,3,3,4,3,5,1,1,1,4,3,1,2,3,1,3,4,1,2,2,3,4,2,3,4,4,4,2,1,1,1,2,2,2,2,2,2,3
49,3,3,3,2,4,3,2,3,3,4,4,3,2,2,2,4,3,3,4,3,4,3,5,1,1,1,4,3,1,2,3,1,3,4,1,4,2,3,4,2,3,2,4,4,1,2,1,1,1,2,1,2,2,2,2
50,3,4,3,2,3,4,2,3,3,4,4,3,3,2,3,3,3,3,3,3,4,3,4,1,1,1,4,3,1,2,3,1,3,2,2,3,1,3,4,2,4,4,4,4,1,1,1,1,2,1,1,2,2,2,2
