trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,4,2,4,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
2,4,2,2,2,4,4,2,4,4,4,4,2,2,2,2,3,3,2,3,2,2,3,4,1,1,1,4,4,2,4,2,1,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,2,1,1,2,1,1,1
3,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,2,4,3,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
4,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,3,2,3,4,1,1,1,4,4,2,3,2,2,3,2,1,2,1,3,4,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
5,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,4,3,2,3,2,4,4,4,1,1,1,4,4,1,4,2,2,3,2,1,2,1,3,4,2,4,4,4,4,1,1,1,1,2,1,1,2,1,1,1
6,4,2,2,2,4,4,2,4,4,4,4,2,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,4,2,4,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,2,1,1,2,1,1,1
7,4,2,2,2,4,4,2,4,4,4,4,2,2,2,2,3,3,2,3,2,4,3,4,1,1,1,4,3,2,3,2,2,3,2,1,2,1,3,4,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,2
8,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,2,2,2,3,4,1,1,1,4,4,1,4,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
9,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,4,3,2,3,2,2,3,4,1,1,1,4,3,2,4,2,2,3,2,1,2,1,3,4,2,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1
10,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,4,3,2,3,2,2,3,4,1,1,1,4,4,2,3,2,1,3,2,1,2,1,4,4,2,4,4,4,4,1,1,1,1,2,1,1,2,1,1,1
11,4,2,2,2,4,4,3,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,2,4,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
12,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,4,2,4,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
13,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,2,3,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1
14,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,1,3,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1
15,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,2,3,2,2,3,2,1,2,1,2,4,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1
16,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,2,3,4,1,1,1,4,3,2,4,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1
17,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,2,3,4,1,1,1,4,3,2,4,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1
18,4,2,2,2,4,4,2,3,4,4,4,3,2,2,2,4,3,2,3,2,3,3,4,1,1,1,4,4,2,4,3,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,2,1,1,2,1,1,1
19,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,2,3,4,1,1,1,4,4,2,4,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
20,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,4,3,2,3,2,3,3,4,1,1,1,4,3,2,4,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1
21,4,2,2,2,4,4,3,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,1,4,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
22,4,2,2,2,4,4,2,4,4,4,4,2,2,2,2,3,3,2,3,2,2,3,4,1,1,1,4,3,1,4,2,2,3,2,1,2,1,4,3,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,2
23,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,4,3,2,3,2,3,3,4,1,1,1,4,4,2,4,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,2,1,1,2,1,1,1
24,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,2,3,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1
25,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,2,3,4,1,1,1,4,4,2,4,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
26,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,4,1,3,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,2
27,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,4,2,4,2,1,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1
28,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,1,3,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
29,4,2,2,2,4,4,2,4,4,4,4,2,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,1,4,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1
30,4,2,2,2,4,4,2,3,4,4,4,3,2,2,2,3,3,2,3,2,2,3,4,1,1,1,4,3,2,4,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,2,1,1,2,1,1,1
31,4,2,2,2,4,4,3,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,4,1,4,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1
32,4,2,2,2,4,4,3,4,4,4,4,3,2,2,2,4,3,2,3,2,3,3,4,1,1,1,4,3,2,3,2,2,4,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
33,4,2,2,2,4,4,3,4,4,4,4,3,2,2,2,3,3,2,2,2,3,3,4,1,1,1,4,4,2,4,2,1,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1
34,4,2,2,2,4,4,3,4,4,4,4,3,2,2,2,3,3,2,3,2,4,3,4,1,1,1,4,3,2,3,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1
35,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,2,2,3,3,4,1,1,1,4,4,1,3,2,2,3,2,1,2,1,4,3,2,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1
36,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,3,2,3,4,1,1,1,4,3,2,4,2,2,3,2,1,2,1,3,3,2,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1
37,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,4,3,2,2,2,3,3,4,1,1,1,4,3,2,4,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,2,1,1,2,1,1,1
38,4,2,2,2,4,4,2,3,4,4,4,2,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,4,2,4,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
39,4,2,2,2,4,4,2,4,4,4,4,2,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,1,4,2,2,3,2,1,2,1,4,3,2,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1
40,4,2,2,2,4,4,2,4,4,4,4,2,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,4,1,4,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
41,4,2,2,2,4,4,3,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,2,3,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1
42,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,2,3,4,1,1,1,4,4,2,4,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,2,1,1,2,1,1,1
43,4,2,2,2,4,4,2,3,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,1,4,2,2,3,2,1,2,1,2,3,2,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1
44,4,2,2,2,4,4,3,4,4,4,4,3,2,2,2,3,3,2,3,2,2,4,4,1,1,1,4,3,1,4,2,2,3,2,1,1,1,4,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
45,4,2,2,2,4,4,2,4,4,4,4,3,1,2,2,3,3,2,2,2,3,3,4,1,1,1,4,3,2,3,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1
46,4,2,2,2,4,4,2,3,4,4,4,3,2,2,2,3,3,2,3,2,3,4,4,1,1,1,4,3,1,4,2,2,3,2,1,2,1,2,4,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1
47,4,2,2,2,4,4,2,4,4,4,4,3,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,1,4,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1
48,4,2,2,2,4,4,2,4,4,4,4,2,2,2,2,3,3,2,3,2,3,3,4,1,1,1,4,3,2,4,2,2,3,2,1,2,1,2,3,2,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1
49,4,2,2,2,4,4,3,4,4,4,4,3,1,2,2,3,3,2,3,2,2,3,4,1,1,1,4,4,1,3,2,2,3,2,1,2,1,3,3,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2
50,4,2,2,2,4,4,3,4,4,4,4,3,2,2,2,3,3,2,3,3,3,3,4,1,1,1,4,3,2,4,2,2,3,2,1,2,1,3,4,2,4,4,4,4,1,1,1,1,2,1,1,1,1,1,1
