trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,2,2,2,2,2,2,2,2,3,2,4,2,2,2,2,3,2,2,2,2,2,2,4,1,2,2,4,2,1,2,4,2,2,2,1,2,1,4,3,2,4,2,4,4,2,1,1,1,2,1,2,2,2,2,1
2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,3,2,3,4,1,2,2,4,2,1,2,4,2,4,2,1,2,1,4,2,2,4,2,4,4,2,1,1,1,2,2,2,1,2,2,2
3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2,2,4,1,2,2,4,2,2,2,4,2,2,2,1,2,1,4,4,2,4,2,4,4,1,1,1,1,2,2,1,2,2,2,1
4,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,3,2,2,4,1,2,2,4,2,2,2,4,2,2,2,1,2,1,4,4,1,4,2,4,4,2,1,1,1,2,2,2,2,2,2,1
5,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,3,2,2,4,1,2,2,4,2,1,2,4,2,4,2,1,2,1,4,2,2,4,2,4,4,2,1,1,1,2,1,2,1,2,2,1
6,2,2,2,2,2,1,2,2,3,2,3,3,2,2,2,2,2,2,2,3,2,2,4,1,2,2,4,2,1,2,4,2,2,2,1,2,1,4,4,1,4,2,4,4,1,1,1,1,2,1,1,2,2,2,2
7,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,3,2,2,2,3,2,2,4,1,2,1,4,2,1,2,4,2,2,2,1,2,1,4,4,2,4,2,4,4,1,1,1,1,2,1,1,2,2,2,1
8,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,3,2,2,4,1,2,2,4,2,1,2,3,2,2,2,1,2,1,4,3,2,4,2,4,4,1,1,1,1,2,2,2,2,2,2,1
9,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,3,2,2,4,1,2,2,4,2,1,2,4,2,4,2,1,2,1,4,3,2,2,2,4,4,1,1,1,1,2,1,2,2,2,2,1
10,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,3,2,2,4,1,2,2,4,1,1,2,4,2,2,2,1,2,1,4,3,2,4,2,4,4,1,1,1,1,2,2,2,2,2,2,1
11,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,3,2,2,2,3,2,2,4,1,2,2,4,2,2,2,4,2,2,2,1,2,1,4,4,1,4,2,4,4,1,1,1,1,2,2,2,2,2,2,1
