trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,3,2,3,2,4,3,2,3,3,4,4,4,2,2,1,3,4,3,3,3,3,3,4,1,2,1,4,3,2,3,3,2,3,3,1,2,1,3,3,2,2,3,3,2,2,1,1,2,2,1,1,2,1,1,2
2,3,1,3,2,4,4,3,3,4,4,4,4,2,3,2,3,3,3,3,4,4,3,4,1,2,1,3,3,2,4,3,2,3,2,1,3,1,3,3,3,2,3,4,2,2,1,1,1,2,1,2,3,2,2,2
3,3,1,3,1,4,4,3,3,4,4,3,3,2,3,2,4,4,3,3,3,4,3,4,1,1,2,4,3,1,3,4,2,3,2,1,1,1,3,3,3,3,3,4,3,3,1,1,1,3,1,2,1,2,2,1
4,3,2,4,3,4,4,2,3,3,4,4,4,1,3,1,4,4,2,3,4,3,4,4,1,1,1,3,3,2,3,3,3,3,2,2,2,1,4,2,2,3,2,4,3,3,1,1,1,2,2,1,2,1,2,2
5,4,2,2,2,3,4,2,3,3,4,4,3,2,3,3,3,4,3,4,4,4,3,4,1,1,1,4,3,1,3,3,2,3,2,2,2,1,3,4,3,4,2,4,4,2,1,1,1,2,1,2,1,2,2,2
6,4,2,2,2,3,4,3,3,4,4,4,3,2,2,2,4,4,3,2,4,3,3,4,1,2,1,4,3,2,3,4,3,3,2,1,2,1,3,2,2,4,3,4,2,2,1,2,2,3,2,1,2,1,3,1
7,4,2,2,2,3,4,2,3,4,4,4,3,2,2,2,3,3,3,4,3,4,3,3,1,1,1,4,3,1,4,3,2,3,2,1,2,1,4,3,2,3,3,4,3,2,1,1,2,2,2,2,2,2,2,1
8,3,2,3,2,3,4,2,4,3,3,3,3,2,3,2,3,4,3,3,4,4,3,4,1,1,1,4,3,2,3,4,2,3,3,1,2,1,4,2,2,3,4,4,4,2,1,2,1,2,2,1,2,2,2,2
9,4,2,2,2,3,4,2,3,4,4,4,3,2,3,1,4,4,3,3,3,4,3,4,1,1,1,4,3,2,3,4,3,3,4,1,2,2,4,3,2,3,3,4,4,2,1,2,1,2,2,1,2,1,2,2
10,4,1,4,1,3,4,3,3,4,4,3,4,2,2,2,3,4,3,3,3,4,4,4,1,2,1,4,3,1,3,4,2,4,3,1,2,1,3,4,2,4,3,4,3,2,1,1,1,2,2,2,2,2,2,1
11,4,2,3,1,3,4,3,2,4,4,4,4,2,3,3,3,4,3,4,4,3,3,4,1,1,1,3,3,3,3,3,3,2,3,2,1,1,3,3,2,3,3,4,2,1,1,1,1,2,2,1,3,2,2,3
12,4,1,2,2,3,4,4,3,4,4,4,2,2,2,2,4,3,3,4,3,3,3,4,1,1,1,4,3,2,4,2,3,3,2,1,3,3,4,2,2,3,4,4,3,1,1,1,1,3,1,2,2,1,2,1
13,4,1,3,2,4,4,2,3,4,3,4,2,2,2,2,4,3,3,3,4,4,4,4,1,1,1,4,3,1,3,3,1,4,3,2,2,1,4,2,3,4,2,4,3,2,1,1,1,2,2,1,2,2,1,2
14,3,2,4,2,3,4,2,3,3,3,3,4,1,3,2,4,2,2,3,3,2,4,4,1,1,2,4,3,1,3,3,2,3,3,2,1,2,4,3,2,3,3,4,4,2,1,1,1,2,2,2,2,2,2,2
15,4,2,2,3,4,4,3,4,4,4,3,4,2,3,2,3,4,3,3,4,3,4,4,1,1,1,4,4,2,3,4,3,3,2,1,2,2,3,3,2,3,3,4,4,2,1,1,2,2,1,1,2,1,2,2
16,4,2,3,2,3,4,3,4,4,3,3,2,2,2,3,4,4,3,3,3,4,3,4,1,1,1,4,3,2,4,4,2,3,2,1,3,2,2,3,2,3,3,4,3,2,1,1,1,2,2,1,2,2,2,2
17,3,2,2,3,3,3,3,3,4,4,4,4,3,3,3,4,3,4,4,4,4,3,4,1,2,1,4,3,2,3,4,1,2,3,1,2,1,3,3,2,3,3,4,3,2,1,1,2,2,1,2,1,2,2,1
18,4,2,3,2,3,3,2,2,3,4,4,3,2,3,2,4,3,3,4,3,4,4,3,1,2,1,4,2,1,3,3,3,3,3,1,2,2,3,4,2,3,3,4,3,1,1,2,1,2,2,1,2,2,1,2
19,3,1,3,2,4,4,2,2,4,4,3,3,2,2,2,4,4,3,4,3,4,4,4,1,1,1,4,3,2,3,3,3,3,4,1,2,1,3,2,3,3,4,4,4,2,1,1,1,2,1,1,2,2,2,2
20,4,1,3,1,4,3,3,3,4,4,4,3,2,3,2,3,3,3,3,4,4,3,3,1,2,2,4,2,2,2,4,2,3,3,1,2,2,3,4,3,3,3,4,3,2,1,1,1,2,2,2,2,3,2,2
21,4,2,3,2,4,4,3,3,4,4,4,4,2,2,3,4,4,2,3,3,3,3,4,1,2,2,4,3,2,3,4,2,3,3,1,2,2,3,3,2,3,3,4,4,2,2,1,1,3,3,2,3,2,1,2
22,4,2,2,2,3,3,3,3,3,4,3,3,2,3,2,4,4,3,4,3,4,4,4,1,1,1,3,3,2,4,3,3,3,3,1,2,1,3,3,2,3,3,4,4,2,2,1,1,2,3,1,2,2,2,2
23,3,1,1,1,3,3,2,2,3,3,3,3,2,2,2,4,2,3,3,3,3,4,2,1,2,1,4,2,2,3,4,2,3,3,2,2,1,4,2,2,2,4,5,4,2,1,1,1,3,2,1,2,1,2,2
24,3,1,4,3,3,4,3,2,3,4,4,4,2,3,2,4,4,4,3,2,4,4,4,1,1,1,4,2,2,3,3,2,4,2,1,1,2,3,2,2,3,2,4,3,1,1,1,1,2,1,1,2,2,2,1
25,3,1,2,1,2,4,3,3,3,3,4,4,2,2,1,3,4,2,3,4,3,4,3,1,2,1,4,3,2,3,3,3,2,3,1,2,1,4,3,3,4,3,4,3,1,1,1,1,2,2,1,2,2,2,2
26,4,3,4,2,3,3,3,4,3,4,4,4,2,3,1,3,3,3,4,3,4,3,4,1,1,1,4,3,2,3,4,2,3,3,2,2,1,3,2,2,3,4,4,3,2,1,2,2,2,2,2,2,2,1,2
27,3,2,4,2,3,3,3,3,4,4,3,3,2,4,2,3,4,3,4,4,4,4,4,1,1,1,4,3,2,3,3,3,2,3,1,2,2,4,3,2,4,3,4,4,1,1,1,1,2,2,1,2,2,2,2
28,3,2,3,1,3,4,3,3,3,4,3,3,2,2,3,4,3,3,4,3,4,3,3,2,2,1,4,2,2,4,4,2,3,2,1,1,1,3,2,2,2,4,4,3,2,1,1,1,2,2,2,2,2,1,1
29,3,1,3,2,4,4,2,3,4,4,4,3,2,3,2,4,3,3,3,3,4,4,4,1,2,1,4,3,1,3,4,3,3,2,1,2,2,3,2,2,4,3,4,4,2,1,1,1,2,2,1,2,1,1,2
30,4,2,2,2,3,4,3,3,4,4,4,4,2,3,2,4,4,2,4,3,3,3,4,1,1,1,4,4,1,4,4,3,3,2,2,1,1,3,3,2,3,3,4,3,3,1,1,1,1,2,2,1,2,2,2
31,3,2,2,2,3,3,2,3,3,4,4,3,2,2,2,4,4,3,3,4,4,3,4,1,1,1,4,3,1,3,3,2,3,2,1,2,2,3,2,1,3,3,4,4,2,1,2,1,2,1,1,2,2,1,2
