trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,3,4,4,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,3,4,4,2
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,3,4,4,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,3
9,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,3,4,4,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,3
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,3
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
13,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,3,4,4,4,3,4,4,2
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,4,4,4,4,4,4,4,3
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,3,4,4,4,4,4,4,3
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,3,4,4,4,4,4,4,2
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,3,4,4,2
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
