trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,4,3,3,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,3,3,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,3,4,4,4,3,3,3,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,3,3,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,4,3,4,4,4,3,3,3,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,4,3,3,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,4,3,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,4,3,4,4,3,4,3,3,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,3,3,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,3,3,1
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,2
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,3,4,4,4,3,3,3,1
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,3,3,1
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,4,3,1
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,3,3,1
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
