trial_number,1,2,3,4,5,6
1,2,2,2,2,4,2
2,2,2,2,2,4,4
3,2,2,2,2,4,4
4,2,2,2,2,4,2
5,2,2,2,2,4,2
6,2,2,2,2,4,2
7,2,2,2,2,4,2
8,2,2,2,2,4,2
9,2,2,2,2,4,3
10,2,2,2,2,4,4
11,2,2,2,2,4,4
12,2,2,2,2,4,2
13,2,2,2,2,4,2
14,3,2,2,2,4,2
15,2,2,2,2,4,4
16,2,2,2,2,4,3
17,2,2,2,2,4,3
18,2,2,2,2,4,2
19,3,2,2,2,4,2
20,3,2,2,2,4,3
21,2,2,2,2,4,2
22,2,2,2,2,4,2
23,2,2,2,2,4,3
24,2,2,2,2,4,4
25,2,2,2,2,4,2
26,2,2,2,2,4,2
27,2,2,2,2,4,2
28,2,2,2,2,4,3
29,2,2,2,2,4,2
30,2,2,2,2,4,4
31,2,2,2,2,4,2
32,3,2,2,2,4,4
33,2,2,2,2,4,2
34,2,2,2,2,4,2
35,2,2,2,2,4,3
36,2,2,2,2,4,2
37,2,2,2,2,4,2
38,2,2,2,2,4,4
39,2,2,2,2,4,2
40,2,2,2,2,4,2
41,3,2,2,2,4,2
42,2,2,2,2,4,4
43,2,2,2,2,4,4
44,2,2,2,2,4,2
45,3,2,2,2,4,3
46,2,2,2,2,4,3
47,2,2,2,2,4,2
48,2,2,2,2,4,3
49,2,2,2,2,4,3
50,3,2,2,2,4,2
