trial_number,1,2,3,4,5,6
1,2,2,1,2,6,2
2,2,1,1,2,6,2
3,2,1,1,2,5,5
4,2,1,1,2,6,5
5,2,1,2,2,6,2
6,3,1,1,1,5,2
7,2,1,1,2,5,2
8,1,1,1,2,6,2
9,2,1,1,2,6,2
10,3,1,1,2,6,2
11,3,1,2,1,6,2
12,2,1,1,1,6,2
13,2,2,2,2,6,2
14,2,1,1,2,6,5
15,2,1,1,2,5,3
16,3,1,1,2,5,2
17,2,1,1,1,6,6
18,2,1,1,2,5,2
19,2,1,2,1,6,2
20,2,1,1,2,5,2
21,2,1,2,2,6,2
22,2,1,1,2,6,2
23,2,1,2,2,6,6
24,2,1,2,2,6,2
25,2,1,1,2,6,2
26,2,1,1,2,5,2
27,2,1,1,1,5,2
28,3,1,1,2,6,2
29,1,1,2,2,6,2
30,2,1,1,2,6,2
31,2,1,1,2,5,6
32,2,1,1,2,6,2
33,2,1,1,2,6,2
34,2,1,1,2,6,2
35,2,1,1,2,5,2
36,2,1,2,2,5,2
37,2,2,1,3,6,2
38,2,1,2,2,6,3
39,2,1,1,2,6,2
40,2,1,2,2,6,2
41,2,1,2,2,7,6
42,2,1,1,2,6,2
43,1,1,1,2,6,2
44,1,1,1,2,6,2
45,2,1,1,2,5,2
46,1,1,1,2,5,2
47,2,1,1,2,5,2
48,2,1,2,1,6,2
49,2,1,2,1,6,2
50,2,1,1,2,5,2
