trial_number,1,2,3,4,5,6
1,1,1,1,1,4,3
2,2,1,1,1,4,3
3,1,1,1,1,4,3
4,4,1,1,1,4,3
5,1,1,1,1,4,2
6,1,1,1,1,4,2
7,4,1,1,1,4,4
8,4,1,1,1,4,3
9,1,1,1,1,4,3
10,4,1,1,1,4,4
11,1,1,1,1,4,2
12,4,1,1,1,4,3
13,4,1,1,1,4,3
14,4,1,1,1,4,3
15,4,1,1,1,4,3
16,4,1,1,1,4,3
17,4,1,1,1,4,3
18,1,1,1,1,4,2
19,4,1,1,1,4,3
20,4,1,1,1,4,3
21,4,1,1,1,4,3
22,4,1,1,1,4,3
23,4,1,1,1,4,3
24,1,1,1,1,4,3
25,1,1,1,1,4,3
26,4,1,1,1,4,3
27,4,1,1,1,4,3
28,4,1,1,1,4,3
29,4,1,1,1,4,2
30,4,1,1,1,4,3
31,1,1,1,1,4,2
32,4,1,1,1,4,2
33,4,1,1,1,4,3
34,1,1,1,1,4,3
35,1,1,1,1,4,3
36,1,1,1,1,4,2
37,4,1,1,1,4,3
38,1,1,1,1,4,3
39,4,1,1,1,4,3
40,4,1,1,1,4,3
41,4,1,1,1,4,3
42,4,1,1,1,4,3
43,1,1,1,1,4,3
44,1,1,1,1,4,4
45,4,1,1,1,4,3
46,1,1,1,1,4,3
47,1,1,1,1,4,2
48,4,1,1,1,4,3
49,4,1,1,1,4,3
50,1,1,1,1,4,3
