trial_number,1,2,3,4,5,6
1,4,2,2,1,5,4
2,2,2,2,2,7,4
3,4,1,2,1,5,4
4,2,2,2,1,6,4
5,1,1,2,1,7,4
6,1,2,2,1,6,4
7,4,1,1,1,6,4
8,1,2,2,1,4,6
9,4,1,2,1,4,4
10,4,2,2,1,5,4
11,4,2,1,1,7,4
12,1,1,2,1,5,4
13,1,2,2,1,4,4
14,2,4,2,1,4,4
15,4,2,2,1,5,4
16,1,2,2,2,7,4
17,2,2,2,1,5,4
18,2,2,2,2,5,2
19,4,2,1,2,6,4
20,2,2,2,2,7,4
21,4,1,2,2,7,4
22,4,2,1,1,6,4
23,2,1,2,2,7,4
24,1,1,2,2,7,4
25,4,2,2,2,4,4
26,1,2,2,1,5,4
27,1,2,2,1,4,3
28,2,1,1,2,6,4
29,1,2,2,2,5,3
30,2,2,2,2,5,4
31,4,1,1,1,5,4
32,4,2,2,2,7,4
33,4,2,2,1,5,4
34,2,2,2,2,6,4
35,4,2,1,2,6,4
36,2,2,2,2,6,4
37,4,2,2,1,4,4
38,4,2,2,2,6,4
39,2,2,2,2,7,4
40,4,2,2,2,7,3
41,4,2,2,1,6,4
42,4,2,2,2,6,4
43,2,2,2,2,7,4
44,3,2,2,1,5,4
45,2,2,2,2,4,4
46,2,1,2,2,4,4
47,4,2,2,1,5,4
48,4,1,2,1,5,4
49,4,1,1,2,4,4
50,4,2,2,2,6,4
