trial_number,1,2,3,4,5,6
1,1,1,1,4,6,4
2,1,1,4,1,4,4
3,4,1,2,1,7,4
4,1,1,2,1,5,4
5,1,1,1,1,6,5
6,1,1,1,1,4,4
7,2,1,4,1,4,4
8,4,4,4,1,5,5
9,3,1,1,1,6,4
10,1,1,4,1,6,4
11,4,1,1,1,4,4
12,2,1,1,1,6,4
13,1,1,1,1,4,4
14,1,1,1,1,6,2
15,1,1,1,1,6,4
16,1,1,1,2,4,4
17,2,1,1,1,6,4
18,1,1,4,1,6,4
19,4,1,1,1,6,4
20,4,4,4,1,4,4
21,4,1,1,1,4,3
22,4,1,1,1,5,4
23,2,1,1,1,6,4
24,3,1,1,1,6,4
25,4,4,1,1,6,3
26,4,1,1,1,6,5
27,1,1,1,1,6,4
28,1,1,4,1,6,2
29,4,1,2,1,6,4
30,1,1,1,1,6,4
31,2,1,1,1,6,4
32,4,1,1,2,6,4
33,2,1,1,1,6,4
34,4,4,4,1,6,4
35,4,4,1,1,6,4
36,1,1,2,1,6,4
37,4,1,4,1,4,2
38,4,4,1,1,4,3
39,1,1,2,4,4,4
40,1,1,1,1,5,4
41,4,1,1,1,4,4
42,1,1,4,1,6,4
43,1,1,1,1,4,4
44,4,4,1,1,6,4
45,2,1,4,1,6,4
46,1,1,1,1,6,4
47,1,1,1,1,4,3
48,4,1,1,1,4,4
49,4,1,1,1,5,4
50,3,1,2,1,6,3
