trial_number,1,2,3,4,5,6
1,2,2,2,2,5,5
2,2,2,2,2,5,3
3,2,2,1,2,5,5
4,2,2,1,2,5,5
5,2,2,1,2,5,5
6,2,2,1,1,5,5
7,2,2,1,2,5,5
8,2,2,2,2,5,5
9,2,2,2,1,5,3
10,2,2,2,1,5,5
11,2,2,2,2,5,5
12,2,2,2,2,5,5
13,2,2,1,2,5,5
14,2,2,2,2,5,3
15,2,2,2,1,5,5
16,2,2,2,2,5,5
17,2,2,1,2,5,5
18,2,2,2,1,5,5
19,2,2,2,2,5,5
20,2,2,2,2,5,4
21,2,2,1,1,5,5
22,2,2,2,2,5,5
23,2,2,2,1,5,5
24,2,2,1,2,5,5
25,2,2,2,1,5,5
26,2,2,2,1,5,3
27,2,2,1,2,5,5
28,2,2,2,2,5,5
29,2,2,2,2,5,5
30,2,2,2,1,5,5
31,2,2,1,2,5,5
32,2,2,1,2,6,5
33,2,2,2,1,5,5
34,2,2,2,1,5,4
35,2,2,2,2,5,5
36,2,2,2,1,5,5
37,2,2,2,2,6,5
38,2,2,2,2,5,5
39,2,2,2,2,5,5
40,2,2,2,2,6,5
41,2,2,2,2,6,3
42,2,2,1,1,5,5
43,2,2,2,2,5,5
44,2,2,1,1,5,5
45,2,2,2,2,5,5
46,2,2,1,1,5,5
47,2,2,2,2,5,5
48,2,2,2,2,5,5
49,2,2,1,1,6,5
50,2,2,2,2,5,3
