trial_number,1,2,3,4,5,6
1,3,4,5,2,7,6
2,2,5,2,2,4,6
3,5,2,2,4,6,4
4,6,2,4,2,5,4
5,5,3,4,2,6,4
6,4,5,2,2,6,4
7,2,2,5,2,7,4
8,2,4,2,2,5,4
9,6,5,2,2,7,4
10,4,2,2,5,7,4
11,3,2,2,2,5,4
12,3,2,5,2,4,4
13,2,2,2,5,4,6
14,6,4,2,2,7,5
15,4,2,5,2,6,6
16,3,2,4,5,7,6
17,5,2,2,4,6,4
18,6,2,2,4,7,5
19,6,5,2,4,7,4
20,2,2,2,7,5,4
21,2,2,4,5,7,4
22,3,5,2,4,6,6
23,3,4,2,5,7,6
24,2,5,2,7,7,4
25,6,2,2,2,5,4
26,2,2,2,5,4,4
27,2,2,2,4,6,5
28,3,4,2,5,6,4
29,4,2,2,5,7,4
30,6,4,5,2,7,4
31,5,2,2,4,6,4
32,6,4,2,5,7,4
33,2,4,5,2,6,4
34,2,2,4,6,5,4
35,2,4,2,7,5,4
36,3,2,4,5,6,6
37,4,2,2,2,7,5
38,6,2,5,2,4,4
39,5,4,2,2,6,4
40,4,2,4,6,6,4
41,4,2,2,2,6,5
42,2,5,2,1,4,4
43,2,4,2,2,5,6
44,6,5,4,2,6,4
45,4,2,2,5,7,6
46,6,2,4,2,6,5
47,2,4,5,6,6,4
48,5,2,2,2,6,4
49,2,2,5,1,4,6
50,4,5,2,2,7,4
