trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,20,20,75,75,100,100,100,100,4,4,4,2,1,2,5
2,25,10,75,75,100,100,100,100,4,4,4,2,2,2,5
3,25,20,75,75,100,100,100,100,4,4,4,1,2,2,5
4,20,20,75,75,100,100,100,100,4,4,4,2,2,2,5
5,0,10,75,75,100,100,100,100,4,4,4,2,2,2,5
6,20,0,70,70,100,100,100,100,4,4,4,2,2,2,5
7,25,0,75,75,100,100,100,100,4,4,4,2,2,2,5
8,10,0,75,70,100,100,100,100,4,4,4,2,2,2,5
9,20,20,75,70,100,100,100,100,4,4,4,2,2,2,5
10,25,20,75,70,100,100,100,100,4,4,4,1,2,2,5
11,25,0,75,75,100,100,100,100,4,4,4,2,2,2,5
12,25,20,75,75,100,100,100,100,4,4,4,2,2,2,5
13,20,0,70,75,100,100,100,100,4,4,4,2,2,2,5
14,20,20,75,75,100,100,100,100,4,4,4,2,2,2,5
15,10,20,75,75,100,100,100,100,4,4,4,2,2,2,5
16,25,20,75,75,100,100,100,100,4,4,4,1,2,2,5
17,25,0,75,70,100,100,100,100,4,4,4,2,2,2,5
18,25,20,75,75,100,100,100,100,4,4,4,2,2,2,5
19,20,20,75,70,100,100,100,100,4,4,4,2,2,2,5
20,20,25,75,75,100,100,100,100,4,4,4,1,2,2,5
21,25,20,75,75,100,100,100,100,4,4,4,2,2,2,5
22,25,20,75,75,100,100,100,100,4,4,4,2,2,2,5
23,20,0,75,75,100,100,100,100,4,4,4,1,2,2,5
24,25,0,75,70,100,100,100,100,4,4,4,2,2,2,5
25,20,0,75,75,100,100,100,100,4,4,4,1,2,2,5
26,25,0,75,70,100,100,100,100,4,4,4,2,2,2,5
27,20,20,75,70,100,100,100,100,4,4,4,1,2,2,5
28,25,20,75,75,100,100,100,100,4,4,4,2,2,2,5
29,20,0,75,75,100,100,100,100,4,4,4,1,2,2,5
30,20,25,75,75,100,100,100,100,4,4,4,2,2,2,5
31,25,10,75,75,100,100,100,100,4,4,4,1,2,2,5
32,20,20,75,75,100,100,100,100,4,4,4,2,2,2,5
33,20,0,75,75,100,100,100,100,4,4,4,2,2,2,5
34,25,0,75,75,100,100,100,100,4,4,4,2,2,2,5
35,20,25,75,75,100,100,100,100,4,4,4,2,2,2,5
36,20,10,70,75,100,100,100,100,4,4,4,2,2,2,5
37,25,0,75,75,100,100,100,100,4,4,4,1,1,2,5
38,20,20,75,70,100,100,100,100,4,4,4,1,2,2,5
39,20,20,75,75,100,100,100,100,4,4,4,2,2,1,5
40,20,0,75,70,100,100,100,100,4,4,4,2,2,2,5
41,25,10,75,75,100,100,100,100,4,4,4,2,2,2,5
42,25,25,75,75,100,100,100,100,4,4,4,1,2,2,5
43,20,10,75,75,100,100,100,100,4,4,4,2,2,2,5
44,20,0,75,75,100,100,100,100,4,4,4,2,2,2,5
45,20,20,70,70,100,100,100,100,4,4,4,2,2,2,5
46,20,0,75,75,100,100,100,100,4,4,4,1,2,2,5
47,20,20,75,75,100,100,100,100,4,4,4,2,2,2,5
48,20,20,75,75,100,100,100,100,4,4,4,2,2,2,5
49,20,20,75,75,100,100,100,100,4,4,4,2,2,2,5
50,20,10,75,75,100,100,100,100,4,4,4,1,2,2,5
