trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,25,20,80,75,100,100,100,100,4,7,4,1,1,1,5
2,30,20,75,75,100,100,100,100,4,7,4,1,1,1,5
3,20,20,75,75,100,100,100,100,4,7,4,1,1,1,5
4,20,20,75,70,100,100,100,100,4,7,4,1,1,1,5
5,20,20,75,75,100,100,100,100,4,7,4,1,1,1,5
6,25,20,75,75,100,100,100,100,4,7,4,1,1,1,5
7,20,25,70,75,100,100,100,100,4,7,4,1,1,1,5
8,25,20,75,70,100,100,100,100,4,7,4,1,1,1,5
9,20,20,80,80,100,100,100,100,4,7,4,1,1,1,5
10,20,20,100,70,100,100,100,100,4,7,4,1,1,1,5
11,20,25,70,75,100,100,100,100,4,7,4,1,1,1,5
12,25,25,100,75,100,100,100,100,4,7,4,1,1,1,5
13,20,25,100,75,100,100,100,100,4,7,4,1,1,1,5
14,20,20,100,75,100,100,100,100,4,7,4,1,1,1,5
15,20,20,75,75,100,100,100,100,4,7,4,1,1,1,5
16,25,30,100,75,100,100,100,100,4,7,4,1,1,1,5
17,30,25,100,75,100,100,100,100,4,7,4,1,1,1,5
18,20,20,75,80,100,100,100,100,4,7,4,1,1,1,5
19,20,25,100,80,100,100,100,100,4,7,4,1,1,1,5
20,20,25,75,75,100,100,100,100,4,7,4,1,1,1,5
21,0,20,75,75,100,100,100,100,4,7,4,1,1,1,5
22,20,30,75,75,100,100,100,100,4,7,4,1,1,1,5
23,20,25,100,100,100,100,100,100,4,7,4,1,1,1,5
24,20,30,80,75,100,100,100,100,4,7,4,1,1,1,5
25,20,20,80,75,100,100,100,100,4,7,4,1,1,1,5
26,25,20,100,70,100,100,100,100,4,7,4,1,1,1,5
27,20,20,75,100,100,100,100,100,4,7,4,1,1,1,5
28,20,20,100,75,100,100,100,100,4,7,4,1,1,1,5
29,20,20,75,75,100,100,100,100,4,7,4,1,1,1,5
30,20,20,75,75,100,100,100,100,4,7,4,1,1,1,5
31,25,20,75,75,100,100,100,100,4,7,4,1,1,1,5
32,20,25,70,100,100,100,100,100,4,7,4,1,1,1,5
33,20,20,75,100,100,100,100,100,4,7,4,1,1,1,5
34,20,20,100,80,100,100,100,100,4,7,4,1,1,1,5
35,20,20,75,70,100,100,100,100,4,7,4,1,1,1,5
36,20,25,100,75,100,100,100,100,4,7,4,1,1,1,5
37,25,30,70,75,100,100,100,100,4,7,4,1,1,1,5
38,30,20,75,75,100,100,100,100,4,7,4,1,1,1,5
39,20,20,100,70,100,100,100,100,4,7,4,1,1,1,5
40,30,20,75,100,100,100,100,100,4,7,4,1,1,1,5
41,20,20,75,75,100,100,100,100,4,7,4,1,1,1,5
42,20,20,100,70,100,100,100,100,4,7,4,1,1,1,5
43,20,20,100,70,100,100,100,100,4,7,4,1,1,1,5
44,20,20,75,70,100,100,100,100,4,7,4,1,1,1,5
45,20,25,75,75,100,100,100,100,4,7,4,1,4,1,5
46,25,25,100,75,100,100,100,100,4,7,4,1,1,1,5
47,25,20,100,75,100,100,100,100,4,7,4,1,1,1,5
48,20,25,75,75,100,100,100,100,4,7,4,1,1,1,5
49,20,25,70,75,100,100,100,100,4,7,4,1,1,1,5
50,25,30,100,75,100,100,100,100,4,7,4,1,1,1,5
