trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
2,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
3,0,0,100,50,100,100,100,100,4,4,4,1,1,1,5
4,0,0,100,50,100,100,100,100,4,4,4,1,4,1,5
5,50,0,100,50,100,100,100,100,4,7,4,1,1,1,5
6,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
7,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
8,50,0,100,50,100,100,100,100,4,4,4,1,1,1,5
9,0,0,100,50,100,100,100,100,4,4,4,1,1,1,5
10,0,0,50,50,100,100,100,100,4,4,4,1,1,1,5
11,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
12,0,0,100,75,100,100,100,100,4,7,4,1,1,1,5
13,0,0,100,50,100,100,100,100,4,4,4,1,1,1,5
14,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
15,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
16,50,0,75,50,100,100,100,100,4,4,4,1,1,1,5
17,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
18,0,0,100,50,100,100,100,100,4,4,4,1,1,4,5
19,50,0,100,50,100,100,100,100,4,7,4,1,1,1,5
20,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
21,0,0,100,50,100,100,100,100,4,4,4,1,1,1,5
22,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
23,0,0,50,50,100,100,100,100,4,7,4,1,1,1,5
24,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
25,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
26,50,0,100,50,100,100,100,100,4,4,4,1,4,1,5
27,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
28,0,0,100,50,100,100,100,100,4,4,4,1,4,1,5
29,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
30,0,0,100,50,100,100,100,100,4,7,4,1,4,1,5
31,0,0,100,50,100,100,100,100,4,4,4,1,1,1,5
32,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
33,0,0,100,50,100,100,100,100,4,4,4,1,1,1,5
34,0,0,100,50,100,100,100,100,4,4,4,1,4,1,5
35,0,0,75,50,100,100,100,100,4,7,4,1,1,1,5
36,0,0,100,50,100,100,100,100,4,7,4,1,4,1,5
37,0,0,100,50,100,100,100,100,4,4,4,1,4,1,5
38,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
39,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
40,0,0,75,50,100,100,100,100,4,7,4,1,1,1,5
41,0,0,75,75,100,100,100,100,4,7,4,1,1,1,5
42,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
43,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
44,0,0,100,50,100,100,100,100,4,4,4,1,1,1,5
45,0,0,75,50,100,100,100,100,4,4,4,1,1,1,5
46,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
47,0,0,100,50,100,100,100,100,4,7,4,1,1,1,5
48,0,0,100,50,100,100,100,100,4,7,4,1,4,1,5
49,50,0,100,50,100,100,100,100,4,4,4,1,1,1,5
50,0,0,100,50,100,100,100,100,4,4,4,1,1,1,5
