trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,25,30,75,75,100,100,50,100,4,6,4,1,1,1,5
2,25,10,75,75,50,100,100,100,4,6,4,1,2,1,5
3,25,25,70,60,50,50,80,100,4,7,4,1,2,1,5
4,25,25,75,80,50,50,100,100,4,6,4,1,4,2,5
5,25,40,75,75,100,100,100,100,4,6,4,1,4,2,5
6,20,25,70,75,50,50,50,100,4,7,4,1,1,1,5
7,25,25,75,75,100,100,100,100,4,6,4,2,1,2,5
8,25,25,70,75,50,100,100,100,4,6,4,1,1,1,5
9,25,25,75,75,100,50,100,100,4,5,4,1,1,1,5
10,25,25,60,80,100,50,100,100,4,7,4,1,2,1,5
11,25,25,75,75,50,100,100,75,4,6,4,2,2,2,5
12,25,20,75,75,100,50,50,100,4,6,4,1,1,1,5
13,25,25,75,75,100,100,100,100,4,7,4,2,1,1,5
14,25,25,75,75,100,100,100,100,4,7,4,2,4,1,5
15,25,25,70,70,100,100,100,100,4,6,4,1,2,1,5
16,25,25,75,75,100,100,100,100,4,7,4,1,1,1,5
17,25,25,75,75,50,100,100,100,4,6,4,1,1,2,5
18,25,25,75,75,100,50,100,50,4,6,4,1,1,1,5
19,20,20,75,75,100,50,100,100,4,7,4,2,2,1,5
20,20,20,70,75,100,50,100,100,4,5,4,1,2,2,5
21,25,25,75,75,50,100,100,100,4,6,4,2,4,1,5
22,25,25,75,75,100,50,100,50,4,6,4,1,1,1,5
23,25,25,75,70,100,50,100,100,4,7,4,1,2,2,5
24,10,25,75,75,100,100,100,100,4,7,4,1,2,1,5
25,20,20,75,75,100,100,100,100,4,6,4,2,3,1,5
26,25,25,75,75,50,100,100,100,4,5,4,1,1,1,5
27,20,25,75,75,100,100,100,100,4,6,4,1,2,2,5
28,20,20,75,75,100,100,100,100,4,7,4,1,4,1,5
29,25,25,75,75,100,50,100,100,4,6,4,2,1,1,5
30,25,25,75,75,100,100,100,100,4,7,4,2,4,2,5
31,25,20,75,75,100,50,100,100,4,6,4,1,1,1,5
32,25,20,75,75,100,100,100,100,4,6,4,1,3,1,5
33,25,25,75,75,100,100,100,100,4,7,4,1,1,1,5
34,25,25,80,50,100,100,100,100,4,6,4,1,1,1,5
35,25,25,75,75,100,100,100,100,4,6,4,1,1,1,5
36,25,25,75,50,50,100,100,100,4,6,4,2,1,1,5
37,20,25,75,75,50,50,100,100,4,7,4,2,1,1,5
38,25,25,75,70,100,50,100,100,4,7,4,1,1,1,5
39,25,25,75,75,100,100,100,100,4,6,4,1,3,1,5
40,25,25,70,75,50,50,100,100,4,6,4,2,2,1,5
41,0,25,75,75,50,100,50,100,4,6,4,1,1,1,5
42,25,25,70,75,100,100,100,100,4,6,4,1,1,2,5
43,25,25,75,75,100,50,100,100,4,7,4,1,1,2,5
44,25,25,75,75,100,100,100,100,4,7,4,2,1,1,5
45,20,25,75,75,100,100,100,100,4,6,4,1,4,1,5
46,25,25,75,75,100,100,100,100,4,7,4,1,1,2,5
47,25,25,75,75,100,50,100,100,4,6,4,1,1,1,5
48,0,25,75,75,100,50,100,100,4,6,4,1,1,1,5
49,25,25,75,75,100,50,100,100,4,5,4,2,1,1,5
50,25,25,75,75,100,100,100,100,4,6,4,1,1,2,5
