trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,15,20,65,70,100,100,100,100,4,6,4,1,2,2,5
2,15,15,70,70,100,100,100,100,4,4,4,1,4,2,5
3,15,20,60,60,100,100,100,100,4,6,4,2,3,2,5
4,20,10,70,65,100,100,100,100,4,6,4,2,2,2,5
5,15,10,70,60,100,100,100,100,4,6,4,1,4,2,5
6,15,20,60,60,100,100,100,100,4,4,4,2,2,2,5
7,15,20,45,65,100,100,100,100,4,4,4,2,4,2,5
8,15,20,70,45,100,100,100,100,4,6,4,1,4,2,5
9,15,20,65,65,100,100,100,100,4,6,4,1,4,2,5
10,10,20,60,65,100,100,100,100,4,7,4,1,3,2,5
11,20,20,60,65,100,100,100,100,4,6,4,2,3,2,5
12,10,20,70,70,100,100,100,100,4,6,4,2,3,2,5
13,10,15,60,60,100,100,100,100,4,6,4,2,2,2,5
14,20,20,60,70,100,100,100,100,4,6,4,1,2,2,5
15,20,20,40,70,100,100,100,100,4,6,4,1,4,2,5
16,20,20,40,60,100,100,100,100,4,6,4,1,4,2,5
17,20,15,60,65,100,100,100,100,4,6,4,1,3,2,5
18,15,20,40,60,100,100,100,100,4,7,4,2,4,4,5
19,15,20,60,45,100,100,100,100,4,6,4,1,4,2,5
20,10,20,40,65,100,100,100,100,4,6,4,1,4,2,5
21,10,20,70,65,100,100,100,100,4,6,4,1,2,2,5
22,15,15,50,60,100,100,100,100,4,6,4,1,4,2,5
23,15,10,70,40,100,100,100,100,4,7,4,2,4,2,5
24,15,20,60,45,100,100,100,100,4,6,4,2,2,2,5
25,15,20,60,45,100,100,100,100,4,6,4,1,2,2,5
26,15,10,65,60,100,100,100,100,4,7,4,2,2,2,5
27,20,10,60,60,100,100,100,100,4,6,4,2,2,2,5
28,20,10,70,60,100,100,100,100,4,6,4,1,2,2,5
29,15,10,45,65,100,100,100,100,4,6,4,1,3,2,5
30,10,10,60,60,100,100,100,100,4,6,4,1,3,2,5
31,10,20,60,60,100,100,100,100,4,6,4,2,4,2,5
32,10,20,65,40,100,100,100,100,4,6,4,2,2,2,5
33,20,20,70,60,100,100,100,100,4,6,4,1,2,2,5
34,20,20,60,70,100,100,100,100,4,6,4,2,4,2,5
35,15,20,35,70,100,100,100,100,4,6,4,1,4,2,5
36,10,20,40,60,100,100,100,100,4,6,4,1,4,2,5
37,20,25,60,40,100,100,100,100,4,6,4,1,2,2,5
38,15,15,60,70,100,100,100,100,4,7,4,2,3,2,5
39,20,15,60,60,100,100,100,100,4,6,4,2,4,2,5
40,20,15,60,65,100,100,100,100,4,6,4,2,4,3,5
41,20,20,60,60,100,100,100,100,4,6,4,2,3,2,5
42,20,15,45,60,100,100,100,100,4,6,4,2,3,2,5
43,20,20,60,40,100,100,100,100,4,6,4,1,2,2,5
44,20,10,60,40,100,100,100,100,4,6,4,2,3,2,5
45,15,20,40,60,100,100,100,100,4,6,4,1,3,2,5
46,20,15,65,60,100,100,100,100,4,6,4,1,4,2,5
47,20,20,60,70,100,100,100,100,4,6,4,1,2,3,5
48,10,20,70,40,100,100,100,100,4,7,4,1,4,1,5
49,10,10,55,60,100,100,100,100,4,7,4,1,2,2,5
50,20,10,40,60,100,100,100,100,4,6,4,2,2,2,5
