trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,20,10,80,75,100,100,100,100,4,6,4,1,1,1,5
2,25,10,80,75,100,100,100,100,4,6,4,1,1,1,5
3,20,10,80,75,100,100,100,100,4,7,4,1,1,1,5
4,20,20,80,75,100,100,100,100,4,4,4,1,1,1,5
5,25,25,80,75,100,100,100,100,4,4,4,1,1,1,5
6,20,20,80,80,100,100,100,100,4,6,4,1,1,1,5
7,25,10,80,80,100,100,100,100,4,7,4,1,1,1,5
8,25,10,80,75,100,100,100,100,4,6,4,1,1,1,5
9,20,10,80,75,100,100,100,100,4,4,4,1,1,1,5
10,20,20,80,75,100,100,100,100,4,7,4,1,1,1,5
11,20,20,80,75,100,100,100,100,4,7,4,1,1,1,5
12,10,20,80,75,100,100,100,100,4,7,4,1,1,1,5
13,25,10,80,75,100,100,100,100,4,7,4,1,1,1,5
14,20,20,80,80,100,100,100,100,4,6,4,1,1,1,5
15,20,20,80,75,100,100,100,100,4,7,4,1,1,1,5
16,20,10,80,75,100,100,100,100,4,6,4,1,1,1,5
17,25,20,80,75,100,100,100,100,4,7,4,1,1,1,5
18,25,20,80,75,100,100,100,100,4,6,4,1,1,1,5
19,25,20,80,75,100,100,100,100,4,6,4,1,1,1,5
20,20,20,80,75,100,100,100,100,4,7,4,1,1,1,5
21,20,20,80,80,100,100,100,100,4,6,4,1,1,1,5
22,20,10,80,75,100,100,100,100,4,6,4,1,1,1,5
23,25,10,80,75,100,100,100,100,4,6,4,1,1,1,5
24,20,10,80,75,100,100,100,100,4,7,4,1,1,1,5
25,20,10,80,75,100,100,100,100,4,6,4,1,1,1,5
26,20,20,80,75,100,100,100,100,4,6,4,1,1,1,5
27,25,20,80,75,100,100,100,100,4,7,4,1,1,1,5
28,20,10,80,75,100,100,100,100,4,6,4,1,1,1,5
29,10,10,80,80,100,100,100,100,4,6,4,1,1,1,5
30,10,20,80,75,100,100,100,100,4,7,4,1,1,1,5
31,10,20,80,75,100,100,100,100,4,6,4,1,1,1,5
32,20,20,80,80,100,100,100,100,4,6,4,1,1,1,5
33,25,20,80,80,100,100,100,100,4,6,4,1,1,1,5
34,10,20,80,75,100,100,100,100,4,6,4,1,1,1,5
35,10,10,80,75,100,100,100,100,4,6,4,1,1,1,5
36,25,10,80,80,100,100,100,100,4,6,4,1,1,1,5
37,20,10,80,75,100,100,100,100,4,7,4,1,1,1,5
38,0,20,75,75,100,100,100,100,4,6,4,1,1,1,5
39,20,10,80,75,100,100,100,100,4,6,4,1,1,1,5
40,20,20,80,75,100,100,100,100,4,6,4,1,1,1,5
41,20,10,80,75,100,100,100,100,4,6,4,1,1,1,5
42,20,10,80,80,100,100,100,100,4,6,4,1,1,1,5
43,20,10,80,75,100,100,100,100,4,7,4,1,1,1,5
44,25,10,80,75,100,100,100,100,4,7,4,1,1,1,5
45,20,20,80,75,100,100,100,100,4,6,4,1,1,1,5
46,25,10,80,75,100,100,100,100,4,7,4,1,1,1,5
47,20,10,80,80,100,100,100,100,4,6,4,1,1,1,5
48,25,10,80,75,100,100,100,100,4,6,4,1,1,1,5
49,20,10,80,75,100,100,100,100,4,6,4,1,1,1,5
50,25,10,80,75,100,100,100,100,4,6,4,1,1,1,5
