trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,50,30,60,70,100,100,100,100,4,7,4,1,3,4,5
2,30,20,60,75,100,100,100,100,4,7,4,1,4,1,5
3,25,30,80,60,100,100,100,75,4,7,4,1,4,1,5
4,30,25,75,70,100,100,100,100,4,7,4,1,1,4,5
5,15,20,65,70,100,100,100,100,4,7,4,1,2,1,5
6,30,20,70,50,100,100,100,100,4,7,4,1,4,1,5
7,20,30,60,65,100,100,100,100,4,7,4,1,1,1,5
8,30,20,70,70,100,100,100,100,4,6,4,1,1,4,5
9,25,30,70,60,100,100,100,100,4,7,4,1,4,4,5
10,30,25,70,50,100,100,100,100,4,7,4,1,4,1,5
11,20,25,60,75,100,100,100,100,4,7,4,1,4,1,5
12,30,30,70,70,100,100,100,100,4,7,4,1,4,1,5
13,20,25,50,60,100,100,100,100,4,6,4,1,1,4,5
14,20,40,60,70,100,100,100,100,4,7,4,1,4,1,5
15,25,30,70,70,100,100,100,100,4,7,4,1,1,1,5
16,20,30,70,70,100,100,100,100,4,7,4,1,1,1,5
17,30,30,70,70,100,100,100,100,4,7,4,1,4,2,5
18,50,40,60,60,100,100,100,100,4,7,4,1,1,1,5
19,20,20,80,60,100,100,100,100,4,7,4,1,1,1,5
20,20,30,60,75,100,100,100,100,4,7,4,1,4,4,5
21,30,25,75,60,100,100,100,100,4,6,4,1,4,1,5
22,10,30,75,70,100,100,100,100,4,7,4,1,1,1,5
23,20,30,70,50,100,100,100,100,4,6,4,1,4,1,5
24,30,15,70,70,100,100,100,100,4,7,4,1,2,1,5
25,20,30,60,70,100,100,100,100,4,5,4,1,1,4,5
26,20,30,80,70,100,100,100,100,4,7,4,1,4,1,5
27,30,20,60,60,100,100,100,100,4,7,4,1,1,1,5
28,30,20,70,70,50,100,100,100,4,6,4,1,1,1,5
29,20,20,70,75,100,100,100,100,4,7,4,1,4,1,5
30,25,25,75,70,100,100,100,100,4,7,4,1,3,1,5
31,20,30,70,75,100,100,100,100,4,7,4,1,4,1,5
32,30,20,60,75,100,100,100,100,4,7,4,1,1,4,5
33,20,30,70,60,100,100,100,100,4,7,4,1,4,4,5
34,25,30,75,70,100,100,100,100,4,7,4,1,1,1,5
35,30,40,60,65,100,100,100,100,4,7,4,1,1,4,5
36,50,20,70,60,100,50,100,100,4,7,4,1,4,1,5
37,15,25,70,75,100,100,100,100,4,6,4,1,1,4,5
38,30,25,100,70,100,100,100,100,4,7,4,1,1,1,5
39,20,20,70,75,100,100,100,100,4,7,4,2,1,1,5
40,20,20,75,60,100,100,100,100,4,7,4,1,4,4,5
41,25,30,60,60,100,50,100,100,4,7,4,1,4,1,5
42,30,20,75,60,100,100,100,100,4,7,4,1,1,1,5
43,20,50,60,70,100,100,100,100,4,6,4,1,1,1,5
44,50,10,75,70,100,100,100,100,4,7,4,1,2,1,5
45,30,30,75,70,100,100,100,100,4,7,4,1,2,1,5
46,25,30,60,60,100,100,100,100,4,7,4,1,1,1,5
47,20,30,70,50,100,100,100,100,4,7,4,1,1,1,5
48,25,30,65,75,100,100,100,100,4,6,4,1,1,1,5
49,30,20,70,60,100,100,100,100,4,7,4,1,1,1,5
50,30,50,80,85,100,100,100,100,4,7,4,1,4,1,5
